"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Neural-network-based reinforcement learning control for path following of underactuated ships","L. Zhang; L. Qiao; J. Chen; W. Zhang","Department of Automation, Shanghai Jiao Tong University, Shanghai, CN; Department of Automation, Shanghai Jiao Tong University, Shanghai, CN; Department of Automation, Shanghai Jiao Tong University, Shanghai, CN; Department of Automation, Shanghai Jiao Tong University, Shanghai, CN","2016 35th Chinese Control Conference (CCC)","29 Aug 2016","2016","","","5786","5791","This paper considers the effectiveness of neural-network-based reinforcement learning (RLNN) controller in discrete time for the underactuated ships. The path following problem of underactuated ships is solved by utilizing RLNN controller together with the Line-of-Sight (LOS) guidance law. The proper form of variables in RLNN controller compatible with the variables in ship maneuvering model is derived and the calculation of desired yaw angle in LOS is implemented in a concise way. The proposed controller is model independent with the consideration of output constraints. Our approach is evaluated by simulations on different ship models with different way-point generated paths.","1934-1768","978-9-8815-6391-0","10.1109/ChiCC.2016.7554262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7554262","Path following;LOS (Line-of-Sight) Guidance Law;Neural Networks;Reinforcement Learning;Underactuated ships","Marine vehicles;MATLAB;Surges","discrete time systems;learning (artificial intelligence);learning systems;neurocontrollers;path planning;ships","neural-network-based reinforcement learning control;path following;underactuated ships;RLNN controller;discrete time;line-of-sight guidance law;LOS guidance law;ship maneuvering model;yaw angle;output constraints;ship models","","13","","16","","29 Aug 2016","","","IEEE","IEEE Conferences"
"Adaptive impedance control of robotic exoskeletons using reinforcement learning","Z. Huang; J. Liu; Z. Li; C. -Y. Su","College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; College of Automation Science and Engineering, South China University of Technology, Guangzhou, China","2016 International Conference on Advanced Robotics and Mechatronics (ICARM)","27 Oct 2016","2016","","","243","248","A robotic exoskeleton with adjustable robot behavior is proposed in this paper. The assistive exoskeleton helps the people to execute the task and optimizes the system's performance. We propose a novel adaptive impedance control for the robotic exoskeleton, whose end-effector's motions are prescribed by the relative trajectory and constrained by the physical limits. With the purpose of shaping the dynamics of the robotic exoskeleton to minimize motion tracking errors and human effort, the linear quadratic regulation (LQR) approach is employed to acquire an optimal impedance model. Integral reinforcement learning (IRL) is employed to deal with the given LQR design without the human model's information. The impedance control incorporating adaptive parameter learning technique makes tracking errors convergence while the constrained region is not transgressed by the end-effectors. Experiment results show that the proposed controller is effective in tracking the desired trajectories.","","978-1-5090-3364-5","10.1109/ICARM.2016.7606926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7606926","Linear quadratic regulation (LQR);integral reinforcement learning (IRL);adaptive impedance control","Robots;Mechatronics;Trajectory;Algorithm design and analysis;Integrated circuits","adaptive control;assisted living;convergence;end effectors;learning (artificial intelligence);linear quadratic control;manipulator dynamics;minimisation;trajectory control","adaptive impedance control;assistive exoskeleton;end-effector;robotic exoskeleton dynamics;motion tracking error minimization;human effort minimization;linear quadratic regulation;optimal impedance model;integral reinforcement learning;IRL;LQR design;adaptive parameter learning;tracking error convergence","","6","","17","IEEE","27 Oct 2016","","","IEEE","IEEE Conferences"
"GA+DDPG+HER: Genetic Algorithm-Based Function Optimizer in Deep Reinforcement Learning for Robotic Manipulation Tasks","A. Sehgal; N. Ward; H. M. La; C. Papachristos; S. Louis","Advanced Robotics and Automation (ARA) Laboratory; Advanced Robotics and Automation (ARA) Laboratory; Advanced Robotics and Automation (ARA) Laboratory; Department of Computer Science and Engineering, University of Nevada, Reno, NV, USA; Department of Computer Science and Engineering, University of Nevada, Reno, NV, USA","2022 Sixth IEEE International Conference on Robotic Computing (IRC)","24 Jan 2023","2022","","","85","86","Agents can base decisions made using reinforcement learning (RL) on a reward function. The selection of values for the learning algorithm parameters can, nevertheless, have a substantial impact on the overall learning process. In order to discover values for the learning parameters that are close to optimal, we extended our previously proposed genetic algorithm-based Deep Deterministic Policy Gradient and Hindsight Experience Replay approach (referred to as GA+DDPG+HER) in this study. On the robotic manipulation tasks of FetchReach, FetchSlide, FetchPush, FetchPick&Place, and DoorOpening, we applied the GA+DDPG+HER methodology. Our technique GA+DDPG+HER was also used in the AuboReach environment with a few adjustments. Our experimental analysis demonstrates that our method produces performance that is noticeably better and occurs faster than the original algorithm. We also offer proof that GA+DDPG+HER beat the current approaches. The final results support our assertion and offer sufficient proof that automating the parameter tuning procedure is crucial and does cut down learning time by as much as 57%.","","978-1-6654-7260-9","10.1109/IRC55401.2022.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10023883","DRL;DDPG+HER;Reinforcement Learning;Genetic Algorithm;GA+DDPG+HER;DDPG;HER","Deep learning;Reinforcement learning;Task analysis;Robots;Tuning;Genetic algorithms","control engineering computing;deep learning (artificial intelligence);genetic algorithms;gradient methods;manipulators;multi-agent systems;reinforcement learning;robot programming","agents;AuboReach environment;deep reinforcement learning;DoorOpening;FetchPick&Place;FetchPush;FetchReach;FetchSlide;GA+DDPG+HER;genetic algorithm-based deep deterministic policy gradient and hindsight experience replay;genetic algorithm-based function optimizer;learning algorithm parameters;learning process;parameter tuning procedure;reward function;robotic manipulation tasks","","5","","7","IEEE","24 Jan 2023","","","IEEE","IEEE Conferences"
"Cartesian tasks oriented friction compensation through a reinforcement learning approach","L. Roveda; G. Pallucca; N. Pedrocchi; F. Braghin; L. M. Tosatti","Institute of Industrial Technologies and Automation (ITIA), Italian National Research Council (CNR), Milan, Italy; Institute of Industrial Technologies and Automation (ITIA), Italian National Research Council (CNR), Milan, Italy; Institute of Industrial Technologies and Automation (ITIA), Italian National Research Council (CNR), Milan, Italy; Department of Mechanical Engineering, Politecnico di Milano, Milan, Italy; Institute of Industrial Technologies and Automation (ITIA), Italian National Research Council (CNR), Milan, Italy","2016 IEEE International Conference on Advanced Intelligent Mechatronics (AIM)","29 Sep 2016","2016","","","895","900","The paper describes an algorithm to compensate for the friction in the robot joints, while executing a target impedance controlled Cartesian task. The proposed method relies on the reinforcement learning procedure: given a target task in the Cartesian space and a joint space friction model, the algorithm is capable to adapt the friction model parameters based on a specified error function. The proposed error function correlates the Cartesian position tracking error to the joint space friction torques, allowing to independently learn the friction parameters for each joint. In such a way, the friction model parameters can be updated in subsequent iterations, compensating for the friction effects. The proposed algorithm has been validated through experiments. A target Cartesian motion has been specified (such as in a pick and place operation) and the proposed method has allowed to learn the friction model parameters. A Universal Robot UR10 has been used as a test platform, developing the impedance control with robot dynamics compensation.","","978-1-5090-2065-2","10.1109/AIM.2016.7576882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7576882","","Friction;Impedance;Learning (artificial intelligence);Adaptation models;Jacobian matrices;Manipulators","friction;iterative methods;learning (artificial intelligence);position control;robot dynamics;robot kinematics","Cartesian task oriented friction compensation;reinforcement learning approach;robot joint friction;target impedance controlled Cartesian task;Cartesian space;joint space friction model;error function;Cartesian position tracking error;joint space friction torques;target Cartesian motion;pick and place operation;Universal Robot UR10;robot dynamics compensation;impedance control","","5","","24","IEEE","29 Sep 2016","","","IEEE","IEEE Conferences"
"Smart bidding strategy of the demand-side loads based on the reinforcement learning","J. Zhou; K. Wang; W. Mao; Y. Wang; P. Huang","Power Automation Department, China Electric Power Research Institute, Nan Jing, China; Power Automation Department, China Electric Power Research Institute, Nan Jing, China; Power Automation Department, China Electric Power Research Institute, Nan Jing, China; Power Automation Department, China Electric Power Research Institute, Nan Jing, China; Distribution network dispatch department, State Grid Anhui Electrical Power Company, He Fei, China","2017 IEEE Conference on Energy Internet and Energy System Integration (EI2)","4 Jan 2018","2017","","","1","5","With the rapid reform of the electricity market in China, a more practical and smart bidding strategy is needed for the demand-side loads when they become the market participants. Based on the different regulation characteristics, a piecewise regulation cost model is established for continuous or discrete regulation demand loads. Meanwhile, considering the factors besides market demand and historical data, the paper proposes the intelligent bidding strategy based on an adaptive reinforcement learning model. The flowcharts for the process of bidding strategy was also proposed. Finally, the simulation results show that the bidding strategy is simple and easy to operate, which will further improve the decision-making ability of the demand side loads.","","978-1-5386-1427-3","10.1109/EI2.2017.8245286","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8245286","Electricity market;Demand-side bidding;Reinforcement learning;Bidding acceptance probability","Load modeling;Probability;Learning (artificial intelligence);Adaptation models;Analytical models;Data models;Power demand","costing;decision making;demand side management;learning (artificial intelligence);power engineering computing;power markets","discrete regulation demand loads;market demand;intelligent bidding strategy;adaptive reinforcement learning model;demand side loads;smart bidding strategy;demand-side loads;electricity market;market participants;piecewise regulation cost model;continuous regulation demand loads;regulation characteristics","","4","","13","IEEE","4 Jan 2018","","","IEEE","IEEE Conferences"
"A Soft Graph Attention Reinforcement Learning for Multi-Agent Cooperation","H. Wang; Z. Pu; Z. Liu; J. Yi; T. Qiu","Scholl of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Scholl of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Chinese Academy of Sciences, Institute of Automation, Beijing, China; Scholl of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Chinese Academy of Sciences, Institute of Automation, Beijing, China","2020 IEEE 16th International Conference on Automation Science and Engineering (CASE)","8 Oct 2020","2020","","","1257","1262","The multi-agent reinforcement learning (MARL) suffers from several issues when it is applied to large-scale environments. Specifically, the communication among the agents is limited by the communication distance or bandwidth. Besides, the interactions among the agents are complex in large-scale environments, which makes each agent hard to take different influences of the other agents into consideration and to learn a stable policy. To address these issues, a soft graph attention reinforcement learning (SGA-RL) is proposed. By taking the advantage of the chain propagation characteristics of graph neural networks, stacked graph convolution layers can overcome the limitation of the communication and enlarge the agents' receptive field to promote the cooperation behavior among the agents. Moreover, unlike traditional multi-head attention mechanism which takes all the heads into consideration equally, a soft attention mechanism is designed to learn each attention head's importance, which means that each agent can learn how to treat the other agents' influence more effectively during large-scale environments. The results of the simulations indicate that the agents can learn stable and complicated cooperative strategies with SGA-RL in large-scale environments.","2161-8089","978-1-7281-6904-0","10.1109/CASE48305.2020.9216877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9216877","","Convolution;Learning (artificial intelligence);Neural networks;Optimization;Bandwidth;Multi-agent systems;Games","graph theory;learning (artificial intelligence);multi-agent systems;neural nets","stacked graph convolution layers;multihead attention mechanism;large-scale environments;soft graph attention reinforcement learning;multiagent cooperation;multiagent reinforcement learning;communication distance;graph neural networks;SGA-RL","","3","","21","IEEE","8 Oct 2020","","","IEEE","IEEE Conferences"
"Fuzzy C-means method for representation policy iteration in reinforcement learning","Z. Huang; X. Xu; J. Wu; L. Zuo","College of Mechatronics and Automation, National University of Defense Technology, Changsha, China; College of Mechatronics and Automation, National University of Defense Technology, Changsha, China; College of Mechatronics and Automation, National University of Defense Technology, Changsha, China; College of Mechatronics and Automation, National University of Defense Technology, Changsha, China","Proceedings of 2012 9th IEEE International Conference on Networking, Sensing and Control","28 May 2012","2012","","","175","180","This paper introduces a Fuzzy C-means method as the subsampling method for Representation Policy Iteration (RPI) in Reinforcement Learning. RPI is a new class of algorithm that automatically learns both basis functions and approximately optimal policy. In this paper the procedures of the RPI algorithm are as follows. Firstly samples are collected using a random or guided policy. The subset samples are obtained from the original ones subsequently by using the Fuzzy C-means (FCM) method as the subsampling method. Then global basis functions called proto-value functions (PVFs) are formed by using the eigenfunctions of the graph Laplacian operator on an undirected graph constructed from the subset samples. Finally, the least-square policy iteration (LSPI) as the parameter estimation method is used for learning an approximately optimal policy. Illustrative experiments on an Inverted Pendulum problem were accomplished to compare the performance of RPI using the FCM method as the subsampling method with that using the previous subsampling method.","","978-1-4673-0390-3","10.1109/ICNSC.2012.6204912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6204912","Reinforcement learning;representation policy iteration;subsampling;fuzzy c-means;proto-value function;graph laplacian operator","Economic indicators;Laplace equations;Function approximation;Approximation algorithms;Clustering algorithms;Eigenvalues and eigenfunctions","fuzzy set theory;iterative methods;learning (artificial intelligence);least squares approximations","fuzzy C-means method;policy iteration representation;reinforcement learning;subsampling method;representation policy iteration;RPI;optimal policy approximation;FCM;proto value functions;PVF;graph Laplacian operator;eigenfunctions;undirected graph construction;subset samples;least square policy iteration;LSPI;parameter estimation method;inverted pendulum problem","","2","","10","IEEE","28 May 2012","","","IEEE","IEEE Conferences"
"Research on path planning of robot based on deep reinforcement learning","F. Liu; C. Chen; Z. Li; Z. -H. Guan; H. O. Wang","School of Automation, China University of Geosciences, Wuhan, China; School of Automation, China University of Geosciences, Wuhan, China; School of Automation, China University of Geosciences, Wuhan, China; College of Automation, Huazhong University of Science and Technology, Wuhan, China; Department of Mechanical Engineering, Boston University, Boston, MA, USA","2020 39th Chinese Control Conference (CCC)","9 Sep 2020","2020","","","3730","3734","In this paper, to avoid the problem of local optimization and slow convergence in complex environment, a reinforcement learning algorithm is proposed to solve the problem. A robot path planning model is built and its feasibility is verified by simulation. In addition, this paper proposes a deep environment to neural network for robot camera to establish a deep reinforcement learning path planning model, and establishes a deep recursive Q-network (DRQN) and Deep Dueling Q-network(DDQN) respectively. In the comparison of the final simulation results, DRQN needs to consume more computation time, but can achieve better results with higher accuracy.","1934-1768","978-9-8815-6390-3","10.23919/CCC50068.2020.9188890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9188890","Reinforcement learning;path planning;robots;deep reinforcement learning","Path planning;Neural networks;Learning (artificial intelligence);Markov processes;Cameras;Robot vision systems","learning (artificial intelligence);mobile robots;path planning","local optimization;complex environment;robot path planning;deep environment;neural network;robot camera;deep reinforcement learning path;deep recursive Q-network;DRQN;deep dueling Q-network;DDQN","","2","","7","","9 Sep 2020","","","IEEE","IEEE Conferences"
"Adaptive Reinforcement Learning Tracking Control for Second-Order Multi-Agent Systems","W. Bai; L. Cao; G. Dong; H. Li","School of Automation, Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, P. R. China; School of Automation, Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, P. R. China; School of Automation, Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, P. R. China; School of Automation, Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, P. R. China","2019 IEEE 8th Data Driven Control and Learning Systems Conference (DDCLS)","25 Nov 2019","2019","","","202","207","In this paper, the adaptive reinforcement learning tracking control problem is studied for second-order pure-feedback multi-agent systems (MASs). The pure-feedback MASs are transformed into strict-feedback form by using the mean value theorem. The reinforcement learning approach is applied to handle the unknown functions and system control performance index. Moreover, the error terms are introduced to the controller, which can improve the robust of the control scheme. The theoretical analysis indicates that all the signals and tracking errors in close-loop system are semi-global uniformly ultimately bounded (SGUUB), and the numerical simulation are conducted to verify the superiority of this scheme.","","978-1-7281-1454-5","10.1109/DDCLS.2019.8908978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8908978","Adaptive Reinforcement Learning;Multi-Agent Systems;and Tracking Control","Reinforcement learning;Multi-agent systems;Performance analysis;Cost function;Backstepping;Control systems","adaptive control;closed loop systems;control system synthesis;feedback;learning (artificial intelligence);multi-agent systems;performance index","close-loop system;adaptive reinforcement learning tracking control problem;second-order pure-feedback multiagent systems;pure-feedback MASs;strict-feedback form;mean value theorem;system control performance index;unknown functions;semiglobal uniformly ultimately bounded;SGUUB;control design","","2","","12","IEEE","25 Nov 2019","","","IEEE","IEEE Conferences"
"Asynchronous Localization with Stratification Effect for Underwater Target: A Reinforcement Learning-based Approach","Y. Gong; X. Li; J. Yan; X. Luo","Department of Automation, Yanshan University, Qinhuangdao, China; Department of Automation, Yanshan University, Qinhuangdao, China; Department of Automation, Yanshan University, Qinhuangdao, China; Department of Automation, Yanshan University, Qinhuangdao, China","2019 3rd International Symposium on Autonomous Systems (ISAS)","11 Jul 2019","2019","","","91","96","In this paper, we are concerned with the localization of underwater target under the asynchronous clock and stratification effect. A network architecture is established that comprises of surface buoys, sensor nodes and the target. Sensor nodes act as anchor nodes and communicate with target. With the collected localization messages, the relationship of time differences and propagation delay is established. Then the reinforcement learning-based approach is designed to solve the localization optimization problem. The value iteration process is given to determine the optimal policy. Finally, simulation results are presented to show the effectiveness of the proposed method.","","978-1-7281-1298-5","10.1109/ISASS.2019.8757772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8757772","Underwater wireless sensor networks;localization;asynchronous;stratification effect;reinforcement learning","Optical buffering;5G mobile communication;Optical network units;Minimization;Resource management","iterative methods;learning (artificial intelligence);optimisation;telecommunication computing;underwater acoustic communication;wireless sensor networks","asynchronous clock;stratification effect;network architecture;surface buoys;sensor nodes;anchor nodes;collected localization messages;reinforcement learning-based approach;localization optimization problem;asynchronous localization;underwater target localization;propagation delay;time differences;value iteration process;optimal policy","","1","","17","IEEE","11 Jul 2019","","","IEEE","IEEE Conferences"
