"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Learning to Herd Agents Amongst Obstacles: Training Robust Shepherding Behaviors Using Deep Reinforcement Learning","J. Zhi; J. -M. Lien","Department of Computer Science, George Mason University, Fairfax, VA, USA; Department of Computer Science, George Mason University, Fairfax, VA, USA","IEEE Robotics and Automation Letters","8 Apr 2021","2021","6","2","4163","4168","Robotic shepherding problem considers the control and navigation of a group of coherent agents (e.g., a flock of bird or a fleet of drones) through the motion of an external robot, called shepherd. Machine learning based methods have successfully solved this problem in an environment with no obstacles. Rule-based methods, on the other hand, can handle more complex scenarios in which environments are cluttered with obstacles and allow multiple shepherds to work collaboratively. However, these rule-based methods are fragile due to the difficulty in defining a comprehensive set of behavioral rules. To overcome these limitations, we propose the first known learning-based method that can herd agents amongst obstacles. By using deep reinforcement learning techniques combined with the probabilistic roadmaps, we train a shepherding model using noisy but controlled environmental and behavioral parameters. Our experimental results show that the trained shepherding controller is robust, namely, it is insensitive to the uncertainties originated from either the group behavioral models or from environments with a small of path homotopy classes. Consequently, the proposed method has a higher success rate, shorter completion time and path length than the rule-based behavioral methods have. These advantages are particularly prominent in more challenging scenarios involving more difficult groups and strenuous passages.","2377-3766","","10.1109/LRA.2021.3068955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9387150","Motion and path planning;reinforcement learning;task and motion planning","Reinforcement learning;Path planning;Motion planning;Learning systems","","","","14","","23","IEEE","25 Mar 2021","","","IEEE","IEEE Journals"
"Human-Guided Robot Behavior Learning: A GAN-Assisted Preference-Based Reinforcement Learning Approach","H. Zhan; F. Tao; Y. Cao","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Electrical and Computer Engineering, University of Texas at San Antonio, San Antonio, Texas, USA; Department of Electrical and Computer Engineering, University of Texas at San Antonio, San Antonio, Texas, USA","IEEE Robotics and Automation Letters","24 Mar 2021","2021","6","2","3545","3552","Human demonstrations can provide trustful samples to train reinforcement learning algorithms for robots to learn complex behaviors in real-world environments. However, obtaining sufficient demonstrations may be impractical because many behaviors are difficult for humans to demonstrate. A more practical approach is to replace human demonstrations by human queries, i.e., preference-based reinforcement learning. One key limitation of the existing algorithms is the need for a significant amount of human queries because a large number of labeled data is needed to train neural networks for the approximation of a continuous, high-dimensional reward function. To reduce and minimize the need for human queries, we propose a new GAN-assisted human preference-based reinforcement learning approach that uses a generative adversarial network (GAN) to learn human preferences and then replace the role of human in assigning preferences. The adversarial neural network is simple and only has a binary output, hence requiring much less human queries to train. Moreover, a maximum entropy based reinforcement learning algorithm is designed to shape the loss towards the desired regions or away from the undesired regions. To show the effectiveness of the proposed approach, we present some studies on complex robotic tasks without access to the environment reward in a typical MuJoCo robot locomotion environment. The obtained results show our method can achieve a reduction of about 99.8% human time without performance sacrifice.","2377-3766","","10.1109/LRA.2021.3063927","Army Research Office(grant numbers:W911NF-21-1-0103); Office of Naval Research(grant numbers:N000141912278,N000141712613); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9369902","Generative adversarial network (GAN);human preferences;reinforcement learning","Trajectory;Reinforcement learning;Neural networks;Robots;Training;Entropy;Task analysis","control engineering computing;human-robot interaction;intelligent robots;learning (artificial intelligence);neural nets","high-dimensional reward function;continuous reward function;MuJoCo robot locomotion environment;adversarial neural network;generative adversarial network;human-guided robot behavior learning;GAN-assisted human preference-based reinforcement learning;maximum entropy based reinforcement learning;human time;human preferences;human queries;human demonstrations;robot behavior learning","","8","","36","IEEE","4 Mar 2021","","","IEEE","IEEE Journals"
"Reinforcement Learning Based, Staircase Negotiation Learning: Simulation and Transfer to Reality for Articulated Tracked Robots","A. Mitriakov; P. Papadakis; J. Kerdreux; S. Garlatti","Research Laboratory in Information and Communication Science and Technology, IMT Atlantique, Lab-STICC, UMR 6285, team RAMBO, Brest, France; Research Laboratory in Information and Communication Science and Technology, IMT Atlantique, Lab-STICC, UMR 6285, team RAMBO, Brest, France; Research Laboratory in Information and Communication Science and Technology, IMT Atlantique, Lab-STICC, UMR 6285, team RAMBO, Brest, France; Research Laboratory in Information and Communication Science and Technology, IMT Atlantique, Lab-STICC, UMR 6285, team RAMBO, Brest, France","IEEE Robotics & Automation Magazine","10 Dec 2021","2021","28","4","10","20","Autonomous control of reconfigurable robots is crucial for their deployment in diverse environments. However, its development is hampered by the diversity of hardware and task constraints. We advocate the use of artificial intelligence-based approaches to improve scalability to different conditions and portability to platforms of comparable traversability skills. In particular, we succeed in tackling the problem of staircase traversal via a reinforcement learning (RL)-based control framework applicable to different articulated, tracked robots and powerful enough to generalize to varying conditions learned in simulation and transferred to reality in a zero-shot setting. Our extensive experiments demonstrate the robustness of the framework in learning tasks with increased risk and difficulty induced by platform diversification and increased control dimensionality.","1558-223X","","10.1109/MRA.2021.3114105","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583665","","Autonomous systems;Robot kinematics;Reinforcement learning;Safety;Kinematics;Collision avoidance;Sensors","mobile robots;reinforcement learning","staircase negotiation learning;autonomous control;reconfigurable robots;diverse environments;task constraints;artificial intelligence;portability;staircase traversal;reinforcement learning-based control;control dimensionality;traversability skills;articulated tracked robots","","5","","20","IEEE","21 Oct 2021","","","IEEE","IEEE Magazines"
"Stability-Guaranteed Reinforcement Learning for Contact-Rich Manipulation","S. A. Khader; H. Yin; P. Falco; D. Kragic","RPL, EECS, KTH, Stockholm, Sweden; RPL, EECS, KTH, Stockholm, Sweden; ABB Corporate Research, Vasteras, Sweden; RPL, EECS, KTH, Stockholm, Sweden","IEEE Robotics and Automation Letters","14 Oct 2020","2021","6","1","1","8","Reinforcement learning (RL) has had its fair share of success in contact-rich manipulation tasks but it still lags behind in benefiting from advances in robot control theory such as impedance control and stability guarantees. Recently, the concept of variable impedance control (VIC) was adopted into RL with encouraging results. However, the more important issue of stability remains unaddressed. To clarify the challenge in stable RL, we introduce the term all-the-time-stability that unambiguously means that every possible rollout should be stability certified. Our contribution is a model-free RL method that not only adopts VIC but also achieves all-the-time-stability. Building on a recently proposed stable VIC controller as the policy parameterization, we introduce a novel policy search algorithm that is inspired by Cross-Entropy Method and inherently guarantees stability. Our experimental studies confirm the feasibility and usefulness of stability guarantee and also features, to the best of our knowledge, the first successful application of RL with all-the-time-stability on the benchmark problem of peg-in-hole.","2377-3766","","10.1109/LRA.2020.3028529","Wallenberg AI, Autonomous Systems and Software Program; Knut och Alice Wallenbergs Stiftelse; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211756","Reinforcement learning;compliance and impedance control;compliant assembly","Trajectory;Impedance;Stability criteria;Task analysis;Manipulator dynamics","entropy;learning (artificial intelligence);learning systems;manipulators;search problems;stability","cross entropy method;policy search algorithm;stability guaranteed reinforcement learning;contact rich manipulation;all-the-time-stability;model free RL method;VIC controller stability;variable impedance control;robot control theory","","15","","33","IEEE","2 Oct 2020","","","IEEE","IEEE Journals"
"Two Dimensional (2D) Feedback Control Scheme Based on Deep Reinforcement Learning Algorithm for Nonlinear Non-repetitive Batch Processes","J. Liu; W. Hong; J. Shi","Institute of Artificial Intelligence, Xiamen University, Xiamen, China; Institute of Artificial Intelligence, Xiamen University, Xiamen, China; Institute of Artificial Intelligence, Xiamen University, Xiamen, China","2022 IEEE 11th Data Driven Control and Learning Systems Conference (DDCLS)","26 Aug 2022","2022","","","262","267","The repetitive/periodic/batch process is widely used in modern industrial production. However, in the context of complex batch processes with nonlinear and non-repetitive nature, designing an effective control scheme is still a critical problem in theoretical research and practical application. In terms of the excellent performance of deep reinforcement learning (DRL) in dealing with the decision-making problems for complex dynamical systems and interacting without any requirement of prior knowledge of the processes, in this paper, we propose a model-free controller design scheme by using soft actor-critic (SAC), an advanced off-policy DRL algorithm. By properly designing the state information, the neural network structure of the policy, and the reward function, the SAC agent is trained as a nonlinear two-dimensional (2D) state feedback control to achieve high tracking performance and strong robustness for the nonlinear non-repetitive batch processes. Our simulation results demonstrate the proposed control method's effectiveness and applicability, and its significant performance is superior to the conventional iterative learning control (ILC) schemes.","2767-9861","978-1-6654-9675-9","10.1109/DDCLS55054.2022.9858421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9858421","deep reinforcement learning;nonlinear non-repetitive batch processes;soft-actor-critic;iterative learning control","Training;State feedback;Simulation;Two dimensional displays;Neural networks;Batch production systems;Optimal control","batch processing (industrial);control engineering computing;control system synthesis;deep learning (artificial intelligence);nonlinear control systems;production engineering computing;reinforcement learning;state feedback","nonlinear two-dimensional state feedback control;two-dimensional feedback control scheme;model-free controller design scheme;complex dynamical systems;deep reinforcement learning algorithm;complex batch processes;control method;nonlinear nonrepetitive batch processes;off-policy DRL algorithm","","1","","28","IEEE","26 Aug 2022","","","IEEE","IEEE Conferences"
"Federated Deep Reinforcement Learning for Task Scheduling in Heterogeneous Autonomous Robotic System","T. M. Ho; K. -K. Nguyen; M. Cheriet","Synchromedia Lab, Ecole de Technologie Supérieure, Univorsité du Québec, QC, Canada; Synchromedia Lab, Ecole de Technologie Supérieure, Univorsité du Québec, QC, Canada; Synchromedia Lab, Ecole de Technologie Supérieure, Univorsité du Québec, QC, Canada","GLOBECOM 2022 - 2022 IEEE Global Communications Conference","11 Jan 2023","2022","","","1134","1139","In this paper, we investigate the problem of task scheduling in automated warehouses with hetero-geneous autonomous robotic systems. We formulate the task scheduling for a heterogeneous autonomous robots (HAR) system in each warehouse as a queueing control optimization problem in which we aim to minimize the queue length of tasks that are waiting to be processed. We propose a deep reinforcement learning (DRL) based approach that employs the proximal policy optimization (PPO) to achieve an optimal task scheduling policy. We then propose a federated learning based algorithm to improve the performance of the PPO agents. The simulation results fully demonstrate the performance improvement of our proposed algorithm in terms of average queue length compared to the distributed learning algorithm.","","978-1-6654-3540-6","10.1109/GLOBECOM48099.2022.10000980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10000980","industrial automation;federated deep reinforcement learning","Deep learning;Computer aided instruction;Job shop scheduling;Upper bound;Distance learning;Simulation;Reinforcement learning","industrial robots;mobile robots;optimisation;queueing theory;reinforcement learning;scheduling;warehouse automation","automated warehouses;average queue length;distributed learning algorithm;DRL;federated deep reinforcement learning;HAR;heterogeneous autonomous robotic system;optimal task scheduling policy;PPO agents;proximal policy optimization;queueing control optimization problem","","1","","9","IEEE","11 Jan 2023","","","IEEE","IEEE Conferences"
"On the Performance of Data-Driven Reinforcement Learning for Commercial HVAC Control","S. Faddel; G. Tian; Q. Zhou; H. Aburub","Departement of Electrical and Computer Engineering, University of Central Florida, Orlando, Fl, USA; Departement of Electrical and Computer Engineering, University of Central Florida, Orlando, Fl, USA; Departement of Electrical and Computer Engineering, University of Central Florida, Orlando, Fl, USA; Departement of Electrical and Computer Engineering, Florida International University, Miami, Fl, USA","2020 IEEE Industry Applications Society Annual Meeting","1 Feb 2021","2020","","","1","7","Commercial heating, ventilation and air conditioning (HVAC ) system consumes large portion of the building energy use. With the abundance of the available data in the building automation systems (BAS) of commercial buildings, ample opportunities have emerged to help develop adequate data-driven control of HVAC systems. This paper proposes the use of data-driven reinforcement learning (RL) that can evaluate control policies and develop new ones. A Q- learning algorithm is used as a type of reinforcement learning to minimize the building energy consumption cost while maintaining the comfort level. The proposed Q-learning algorithm is trained using actual data where the data is first used to develop temperature and energy models. Four different machine learning methodologies are used to obtain these models which are linear regression, deep neural network, support vector machines and random forests. The performance of the Q- learning algorithm under each methodology is tested and compared with the others. The algorithm is validated using a decent physics-based model of a 3-floor office/classroom building. The results showed that though all the four methodologies yield satisfactory results, the Q-learning algorithm performed the best under support vector machine and random forest.","2576-702X","978-1-7281-7192-0","10.1109/IAS44978.2020.9334865","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9334865","HVAC;Demand Response;Comfort level;Machine Learning;Reinforcement Learning","Support vector machines;Machine learning algorithms;HVAC;Buildings;Neural networks;Reinforcement learning;Random forests","air conditioning;building management systems;control engineering computing;deep learning (artificial intelligence);energy consumption;HVAC;power engineering computing;regression analysis;support vector machines","data-driven reinforcement learning;commercial HVAC control;building energy use;building automation systems;building energy consumption cost;Q-learning algorithm;different machine learning methodologies;support vector machine;cmmercial heating ventilation and air conditioning control;linear regression;deep neural network;random forests;support vector machines","","5","","28","IEEE","1 Feb 2021","","","IEEE","IEEE Conferences"
"Aggressive Quadrotor Flight Using Curiosity-Driven Reinforcement Learning","Q. Sun; J. Fang; W. X. Zheng; Y. Tang","Key Laboratory of Smart Manufacturing in Energy Chemical Process Ministry of Education, East China University of Science and Technology, Shanghai, China; Key Laboratory of Smart Manufacturing in Energy Chemical Process Ministry of Education, East China University of Science and Technology, Shanghai, China; School of Computer, Data and Mathematical Sciences, Western Sydney University, Sydney, NSW, Australia; Key Laboratory of Smart Manufacturing in Energy Chemical Process Ministry of Education, East China University of Science and Technology, Shanghai, China","IEEE Transactions on Industrial Electronics","12 Jul 2022","2022","69","12","13838","13848","The ability to perform aggressive movements,which are called aggressive flights, is important for quadrotors during navigation. However, aggressive quadrotor flights are still a great challenge to practical applications. The existing solutions to aggressive flights heavily rely on a predefined trajectory, which is a time-consuming preprocessing step. To avoid such path planning, we propose a curiosity-driven reinforcement learning method for aggressive flight missions and a similarity-based curiosity module is introduced to speed up the training procedure. A branch structure exploration strategy is also applied to guarantee the robustness of the policy and to ensure the policy trained in simulations can be performed in real-world experiments directly. The experimental results in simulations demonstrate that our reinforcement learning algorithm performs well in aggressive flight tasks, speeds up the convergence process and improves the robustness of the policy. Besides, our algorithm shows a satisfactory simulated to real transferability and performs well in real-world experiments.","1557-9948","","10.1109/TIE.2022.3144586","Ministry of Science and Technology of the People's Republic of China(grant numbers:2018AAA0101602); National Natural Science Foundation of China(grant numbers:62136003); Introducing Talents of Discipline to Universities(grant numbers:B17017); Program of Shanghai Academic Research Leader(grant numbers:20XD1401300); Chinesisch-Deutsche Zentrum für Wissenschaftsförderung(grant numbers:M-0066); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9693334","Aggressive flight;reinforcement learning;unmanned aerial vehicles (UAVs)","Reinforcement learning;Training;Navigation;Trajectory;Trajectory planning;Task analysis;Planning","aircraft control;control engineering computing;helicopters;path planning;reinforcement learning;robust control","policy robustness improvement;training procedure;aggressive flights;aggressive quadrotor flight;aggressive flight tasks;similarity-based curiosity module;aggressive flight missions;curiosity-driven reinforcement learning method;time-consuming preprocessing step","","4","","40","IEEE","25 Jan 2022","","","IEEE","IEEE Journals"
"EFCam: Configuration-Adaptive Fog-Assisted Wireless Cameras with Reinforcement Learning","S. Zhou; D. V. Le; J. Qiping Yang; R. Tan; D. Ho","HP-NTU Digital Manufacturing Corporate Lab, Nanyang Technological University; HP-NTU Digital Manufacturing Corporate Lab, Nanyang Technological University; HP-NTU Digital Manufacturing Corporate Lab, Nanyang Technological University; School of Computer Science and Engineering, Nanyang Technological University; HP Inc.","2021 18th Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)","26 Jul 2021","2021","","","1","9","Visual sensing has been increasingly employed in industrial processes. This paper presents the design and implementation of an industrial wireless camera system, namely, EFCam, which uses low-power wireless communications and edge-fog computing to achieve cordless and energy-efficient visual sensing. The camera performs image pre-processing (i.e., compression or feature extraction) and transmits the data to a resourceful fog node for advanced processing using deep models. EFCam admits dynamic configurations of several parameters that form a configuration space. It aims to adapt the configuration to maintain desired visual sensing performance of the deep model at the fog node with minimum energy consumption of the camera in image capture, pre-processing, and data communications, under dynamic variations of application requirement and wireless channel conditions. However, the adaptation is challenging due primarily to the complex relationships among the involved factors. To address the complexity, we apply deep reinforcement learning to learn the optimal adaptation policy. Extensive evaluation based on trace-driven simulations and experiments show that EFCam complies with the accuracy and latency requirements with lower energy consumption for a real industrial product object tracking application, compared with four baseline approaches incorporating hysteresis-based adaptation.","2155-5494","978-1-6654-4108-7","10.1109/SECON52354.2021.9491609","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9491609","","Wireless communication;Wireless sensor networks;Visualization;Energy consumption;Adaptation models;Reinforcement learning;Cameras","cameras;deep learning (artificial intelligence);distributed processing;energy conservation;feature extraction;image capture;object tracking;radiocommunication;telecommunication power management;wireless channels","image pre-processing;low-power wireless communications;EFCam;cordless visual sensing;energy-efficient visual sensing;edge-fog computing;industrial wireless camera system;configuration-adaptive fog-assisted wireless cameras;hysteresis-based adaptation;industrial product object tracking application;energy consumption;optimal adaptation policy;deep reinforcement learning;wireless channel conditions;data communications;image capture","","1","","17","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Securing IoT Communication Using Physical Sensor Data — Graph Layer Security with Federated Multi-agent Deep Reinforcement Learning","L. Wang; Z. Wei; W. Guo","School of Aerospace, Transport and Manufacturing, Cranfield University, Milton Keynes, UK; School of Aerospace, Transport and Manufacturing, Cranfield University, Milton Keynes, UK; School of Aerospace, Transport and Manufacturing, Cranfield University, Milton Keynes, UK","2023 8th International Conference on Signal and Image Processing (ICSIP)","9 Oct 2023","2023","","","860","865","Internet-of-Things (IoT) devices are often used to transmit physical sensor data over digital wireless channels. Traditional Physical Layer Security (PLS)-based cryptography approaches rely on accurate channel estimation and information exchange for key generation, which irrevocably ties key quality with digital channel estimation quality. Recently, we proposed a new concept called Graph Layer Security (GLS), where digital keys are derived from physical sensor readings. The sensor readings between legitimate users are correlated through a common background infrastructure environment (e.g., a common water distribution network or electric grid). The challenge for GLS has been how to achieve distributed key generation. This paper presents a Federated multi-agent Deep reinforcement learning-assisted Distributed Key generation scheme (FD2K), which fully exploits the common features of physical dynamics to establish secret key between legitimate users. We present for the first time initial experimental results of GLS with federated learning, achieving considerable security performance in terms of key agreement rate (KAR), and key randomness.","","979-8-3503-9793-2","10.1109/ICSIP57908.2023.10271026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271026","graph layer security;multi-agent deep reinforcement learning;distributed key generation;federated learning;feature Extraction","Deep learning;Wireless communication;Wireless sensor networks;Federated learning;Channel estimation;Training data;Reinforcement learning","","","","","","21","IEEE","9 Oct 2023","","","IEEE","IEEE Conferences"
