Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Simulation and deep reinforcement learning for adaptive dispatching in semiconductor manufacturing systems","Journal of Intelligent Manufacturing","","34","3","10.1007/s10845-021-01851-7","Ahmed H. SakrAyman AboelhassanSoumaya YacoutSamuel Bassetto","2023","http://link.springer.com/article/10.1007/s10845-021-01851-7","Article"
"A reinforcement learning/ad-hoc planning and scheduling mechanism for flexible and sustainable manufacturing systems","Flexible Services and Manufacturing Journal","","","","10.1007/s10696-023-09496-9","Panagiotis D. ParaschosGeorgios K. KoulinasDimitrios E. Koulouriotis","2023","http://link.springer.com/article/10.1007/s10696-023-09496-9","Article"
"Reinforcement learning iterated greedy algorithm for distributed assembly permutation flowshop scheduling problems","Journal of Ambient Intelligence and Humanized Computing","","14","8","10.1007/s12652-022-04392-w","Kuo-Ching YingShih-Wei Lin","2023","http://link.springer.com/article/10.1007/s12652-022-04392-w","Article"
"Dynamic Job Shop Scheduling in an Industrial Assembly Environment Using Various Reinforcement Learning Techniques","Intelligent Systems Design and Applications","","","","10.1007/978-3-031-35501-1_52","David HeikFouad BahrpeymaDirk Reichelt","2023","http://link.springer.com/chapter/10.1007/978-3-031-35501-1_52","Chapter"
"A digital twin-driven flexible scheduling method in a human–machine collaborative workshop based on hierarchical reinforcement learning","Flexible Services and Manufacturing Journal","","","","10.1007/s10696-023-09498-7","Rong ZhangJianhao LvJinsong BaoYu Zheng","2023","http://link.springer.com/article/10.1007/s10696-023-09498-7","Article"
"A Reinforcement Learning Approach for Solving Integrated Mass Customization Process Planning and Job-Shop Scheduling Problem in a Reconfigurable Manufacturing System","Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future","","","","10.1007/978-3-031-24291-5_31","Sini GaoJoanna DaaboulJulien Le Duigou","2023","http://link.springer.com/chapter/10.1007/978-3-031-24291-5_31","Chapter"
"Reinforcement learning for predictive maintenance: a systematic technical review","Artificial Intelligence Review","","56","11","10.1007/s10462-023-10468-6","Rajesh SiraskarSatish KumarShruti PatilArunkumar BongaleKetan Kotecha","2023","http://link.springer.com/article/10.1007/s10462-023-10468-6","Article"
"Optimized Task Planning of Transfer Robots Using Reinforcement Learning","Advances in Production Management Systems. Production Management Systems for Responsible Manufacturing, Service, and Logistics Futures","","","","10.1007/978-3-031-43670-3_41","Ji Whan ParkSang Do Noh","2023","http://link.springer.com/chapter/10.1007/978-3-031-43670-3_41","Chapter"
"Digital twin-enabled adaptive scheduling strategy based on deep reinforcement learning","Science China Technological Sciences","","66","7","10.1007/s11431-022-2413-5","XueMei GanYing ZuoAnSi ZhangShaoBo LiFei Tao","2023","http://link.springer.com/article/10.1007/s11431-022-2413-5","Article"
"Integrating multi-agent reinforcement learning and 3D A* search for facility layout problem considering connector-assembly","Journal of Intelligent Manufacturing","","","","10.1007/s10845-023-02209-x","Qiaoyu ZhangYan Lin","2023","http://link.springer.com/article/10.1007/s10845-023-02209-x","Article"
"Demonstration Shaped Reward Machine for Robot Assembly Reinforcement Learning Tasks","Intelligent Robotics and Applications","","","","10.1007/978-981-99-6495-6_20","Ruihong XiaoHong ZhanYiming JiangChenguang Yang","2023","http://link.springer.com/chapter/10.1007/978-981-99-6495-6_20","Chapter"
"Generalization of Reinforcement Learning Agents for Production Control","Production Processes and Product Evolution in the Age of Disruption","","","","10.1007/978-3-031-34821-1_37","Leonard OverbeckValentin GlaserMarvin Carl MayGisela Lanza","2023","http://link.springer.com/chapter/10.1007/978-3-031-34821-1_37","Chapter"
"Reinforcement learning for real-time process control in high-temperature superconductor manufacturing","The International Journal of Advanced Manufacturing Technology","","","","10.1007/s00170-023-12369-y","Qianmei FengShenglin PengYing LinSiwei ChenMahesh PaidpilliChirag GoelEduard GalstyanVenkat Selvamanickam","2023","http://link.springer.com/article/10.1007/s00170-023-12369-y","Article"
"Distributional reinforcement learning for run-to-run control in semiconductor manufacturing processes","Neural Computing and Applications","","35","26","10.1007/s00521-023-08760-1","Zhu MaTianhong Pan","2023","http://link.springer.com/article/10.1007/s00521-023-08760-1","Article"
"Optimisation of Matrix Production System Reconfiguration with Reinforcement Learning","KI 2023: Advances in Artificial Intelligence","","","","10.1007/978-3-031-42608-7_2","Leonhard CzarnetzkiCatherine LaflammeChristoph HalbwidlLisa Charlotte GüntherThomas SobottkaDaniel Bachlechner","2023","http://link.springer.com/chapter/10.1007/978-3-031-42608-7_2","Chapter"
"Deep reinforcement learning for dynamic scheduling of energy-efficient automated guided vehicles","Journal of Intelligent Manufacturing","","","","10.1007/s10845-023-02208-y","Lixiang ZhangYan YanYaoguang Hu","2023","http://link.springer.com/article/10.1007/s10845-023-02208-y","Article"
"Smart scheduling of dynamic job shop based on discrete event simulation and deep reinforcement learning","Journal of Intelligent Manufacturing","","","","10.1007/s10845-023-02161-w","Ziqing WangWenzhu Liao","2023","http://link.springer.com/article/10.1007/s10845-023-02161-w","Article"
"Reinforcement learning based approach for the optimization of mechanical properties of additively manufactured specimens","International Journal on Interactive Design and Manufacturing (IJIDeM)","","17","4","10.1007/s12008-023-01257-0","Akshansh MishraVijaykumar S. Jatti","2023","http://link.springer.com/article/10.1007/s12008-023-01257-0","Article"
"Deep representation learning and reinforcement learning for workpiece setup optimization in CNC milling","Production Engineering","","17","6","10.1007/s11740-023-01209-3","Vladimir SamsonovEnslin ChrismarieHans-Georg KöpkenSchirin BärDaniel LüttickeTobias Meisen","2023","http://link.springer.com/article/10.1007/s11740-023-01209-3","Article"
"Explaining deep reinforcement learning decisions in complex multiagent settings: towards enabling automation in air traffic flow management","Applied Intelligence","","53","4","10.1007/s10489-022-03605-1","Theocharis KravarisKonstantinos LentzosGeorgios SantipantakisGeorge A. VourosGennady AndrienkoNatalia AndrienkoIan CrookJose Manuel Cordero GarciaEnrique Iglesias Martinez","2023","http://link.springer.com/article/10.1007/s10489-022-03605-1","Article"
"Instant flow distribution network optimization in liquid composite molding using deep reinforcement learning","Journal of Intelligent Manufacturing","","34","1","10.1007/s10845-022-01990-5","Martin SzarskiSunita Chauhan","2023","http://link.springer.com/article/10.1007/s10845-022-01990-5","Article"
"A Reinforcement Learning Approach to Powertrain Optimisation","Sustainable Design and Manufacturing","","","","10.1007/978-981-19-9205-6_24","Hocine MatallahAsad JaviedAlexander WilliamsAshraf Fahmy AbdoFawzi Belblidia","2023","http://link.springer.com/chapter/10.1007/978-981-19-9205-6_24","Chapter"
"Reinforcement Learning in Blockchain-Enabled IIoT Networks","Communication, Networks and Computing","","","","10.1007/978-3-031-43145-6_19","Dema DaounZulfikar AlomMohammad Abdul Azim","2023","http://link.springer.com/chapter/10.1007/978-3-031-43145-6_19","Chapter"
"A Reinforcement Learning Method for Solving the Production Scheduling Problem of Silicon Electrodes","Advanced Intelligent Computing Technology and Applications","","","","10.1007/978-981-99-4755-3_36","Yu-Fang HuangRong HuXing WuBin QianYuan-Yuan Yang","2023","http://link.springer.com/chapter/10.1007/978-981-99-4755-3_36","Chapter"
"Using Adversarial Reinforcement Learning to Improve the Resilience of Human-Robot Collaboration in Industrial Assembly","Collaborative Networks in Digitalization and Society 5.0","","","","10.1007/978-3-031-42622-3_22","Dario AntonelliKhurshid Aliev","2023","http://link.springer.com/chapter/10.1007/978-3-031-42622-3_22","Chapter"
"Reinforcement Learning","Advances in Industrial Control","","","","10.1007/978-3-031-28394-9","Jinna LiFrank L. LewisJialu Fan","2023","http://link.springer.com/book/10.1007/978-3-031-28394-9","Book"
"Reinforcement learning applications to machine scheduling problems: a comprehensive literature review","Journal of Intelligent Manufacturing","","34","3","10.1007/s10845-021-01847-3","Behice Meltem KayhanGokalp Yildiz","2023","http://link.springer.com/article/10.1007/s10845-021-01847-3","Article"
"Reinforcement Learning-Supported AB Testing of Business Process Improvements: An Industry Perspective","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-031-34241-7_2","Aaron Friedrich KurzTimotheus KampikLuise PufahlIngo Weber","2023","http://link.springer.com/chapter/10.1007/978-3-031-34241-7_2","Chapter"
"Solving Job-Shop Scheduling Problem via Deep Reinforcement Learning with Attention Model","Advances and Trends in Artificial Intelligence. Theory and Applications","","","","10.1007/978-3-031-36822-6_18","Zijun LiaoJinbiao ChenZizhen Zhang","2023","http://link.springer.com/chapter/10.1007/978-3-031-36822-6_18","Chapter"
"Reinforcement Learning Based Graphical User Interface to Solve the Permutation Flow Shop Problem","Intelligent Computing & Optimization","","","","10.1007/978-3-031-19958-5_99","Safa Bhar LayebAmel JaouaHadil BouaskerYousr Baklouti","2023","http://link.springer.com/chapter/10.1007/978-3-031-19958-5_99","Chapter"
"An Integrated Approach Combining Virtual Environments and Reinforcement Learning to Train Construction Robots for Conducting Tasks Under Uncertainties","Proceedings of the Canadian Society of Civil Engineering Annual Conference 2022","","","","10.1007/978-3-031-34593-7_17","Weijia CaiLei HuangZhengbo Zou","2023","http://link.springer.com/chapter/10.1007/978-3-031-34593-7_17","Chapter"
"Adaptive Gait Trajectory and Event Prediction of Lower Limb Exoskeletons for Various Terrains Using Reinforcement Learning","Journal of Intelligent & Robotic Systems","","109","2","10.1007/s10846-023-01963-7","Zhipeng YuJianghai ZhaoDanhui ChenShuyan ChenXiaojie Wang","2023","http://link.springer.com/article/10.1007/s10846-023-01963-7","Article"
"Optimization Planning Scheduling Problem in Industry 4.0 Using Deep Reinforcement Learning","IoT and Data Science in Engineering Management","","","","10.1007/978-3-031-27915-7_26","Marcos TerolPedro Gomez-GasquetAndrés Boza","2023","http://link.springer.com/chapter/10.1007/978-3-031-27915-7_26","Chapter"
"Digital Continuity Based on Reinforcement Learning Model Transformations","Advances on Mechanics, Design Engineering and Manufacturing IV","","","","10.1007/978-3-031-15928-2_39","Quentin BrilhaultEsma YahiaLionel Roucoules","2023","http://link.springer.com/chapter/10.1007/978-3-031-15928-2_39","Chapter"
"Reinforcement Learning for Input Constrained Sub-optimal Tracking Control in Discrete-time Two-time-scale Systems","International Journal of Control, Automation and Systems","","21","9","10.1007/s12555-022-0355-6","Xuejie QueZhenlei WangXin Wang","2023","http://link.springer.com/article/10.1007/s12555-022-0355-6","Article"
"Reinforcement Learning for Maritime Communications","Wireless Networks","","","","10.1007/978-3-031-32138-2","Liang XiaoHelin YangWeihua ZhuangMinghui Min","2023","http://link.springer.com/book/10.1007/978-3-031-32138-2","Book"
"A two-stage RNN-based deep reinforcement learning approach for solving the parallel machine scheduling problem with due dates and family setups","Journal of Intelligent Manufacturing","","","","10.1007/s10845-023-02094-4","Funing LiSebastian LangBingyuan HongTobias Reggelin","2023","http://link.springer.com/article/10.1007/s10845-023-02094-4","Article"
"Coupling of an analytical rolling model and reinforcement learning to design pass schedules: towards properties controlled hot rolling","Journal of Intelligent Manufacturing","","","","10.1007/s10845-023-02115-2","C. IdzikA. KrämerG. HirtJ. Lohmar","2023","http://link.springer.com/article/10.1007/s10845-023-02115-2","Article"
"Promoting human-AI interaction makes a better adoption of deep reinforcement learning: a real-world application in game industry","Multimedia Tools and Applications","","","","10.1007/s11042-023-15361-6","Zhipeng HuHaoyu LiuYu XiongLizi WangRunze WuKai GuanYujing HuTangjie LyuChangjie Fan","2023","http://link.springer.com/article/10.1007/s11042-023-15361-6","Article"
"Deep reinforcement learning approach for computation offloading in blockchain-enabled communications systems","Journal of Ambient Intelligence and Humanized Computing","","14","8","10.1007/s12652-021-03663-2","Tanweer AlamArif UllahMohamed Benaida","2023","http://link.springer.com/article/10.1007/s12652-021-03663-2","Article"
"Control of Open Mobile Robotic Platform Using Deep Reinforcement Learning","Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future","","","","10.1007/978-3-031-24291-5_29","Mihai-Daniel PavelSabin RoșioruNicoleta ArghiraGrigore Stamatescu","2023","http://link.springer.com/chapter/10.1007/978-3-031-24291-5_29","Chapter"
"Data-driven automated control algorithm for floating-zone crystal growth derived by reinforcement learning","Scientific Reports","","13","1","10.1038/s41598-023-34732-5","Yusuke TosaRyo OmaeRyohei MatsumotoShogo SumitaniShunta Harada","2023","http://link.springer.com/article/10.1038/s41598-023-34732-5","Article"
"Discretization and Representation of a Complex Environment for On-Policy Reinforcement Learning for Obstacle Avoidance for Simulated Autonomous Mobile Agents","Proceedings of Seventh International Congress on Information and Communication Technology","","","","10.1007/978-981-19-2394-4_42","Andreas Dyrøy Jansson","2023","http://link.springer.com/chapter/10.1007/978-981-19-2394-4_42","Chapter"
"Performance Comparison of Supervised and Reinforcement Learning Approaches for Separating Entanglements in a Bin-Picking Application","Advances in Automotive Production Technology – Towards Software-Defined Manufacturing and Resilient Supply Chains","","","","10.1007/978-3-031-27933-1_15","Marius MoosmannManuel KaiserJohannes RosportFelix SpenrathWerner KrausRichard BormannMarco F. Huber","2023","http://link.springer.com/chapter/10.1007/978-3-031-27933-1_15","Chapter"
