"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Invited: Efficient Reinforcement Learning for Automating Human Decision-Making in SoC Design","S. Sadasivam; J. Lee; Z. Chen; R. Jain",Qualcomm Technologies Inc.; Qualcomm Technologies Inc.; Carnegie Mellon University; Qualcomm Technologies Inc.,"2018 55th ACM/ESDA/IEEE Design Automation Conference (DAC)","20 Sep 2018","2018","","","1","6","The exponential growth in PVT corners due to Moore's law scaling, and the increasing demand for consumer applications and longer battery life in mobile devices, has ushered in significant cost and power-related challenges for designing and productizing mobile chips within a predictable schedule. Two main reasons for this are the reliance on human decision-making to achieve the desired performance within the target area and power budget, and significant increases in complexity of the human decision-making space. The problem is that to-date human design experience has not been replaced by design automation tools, and tasks requiring experience of past designs are still being performed manually.In this paper we investigate how machine learning may be applied to develop tools that learn from experience just like human designers, thus automating tasks that still require human intervention. The potential advantage of the machine learning approach is the ability to scale with increasing complexity and therefore hold the design-time constant with same manpower.Reinforcement Learning (RL) is a machine learning technique that allows us to mimic a human designers' ability to learn from experience and automate human decision-making, without loss in quality of the design, while making the design time independent of the complexity. In this paper we show how manual design tasks can be abstracted as RL problems. Based on the experience with applying RL to one of these problems, we show that RL can automatically achieve results similar to human designs, but in a predictable schedule. However, a major drawback is that the RL solution can require a prohibitively large number of iterations for training. If efficient training techniques can be developed for RL, it holds great promise to automate tasks requiring human experience. In this paper we present a Bayesian Optimization technique for reducing the RL training time.","","978-1-5386-4114-9","10.1109/DAC.2018.8465874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465874","","Tools;Task analysis;Learning (artificial intelligence);Tuning;Games;Decision making;Design automation","Bayes methods;learning (artificial intelligence);optimisation;system-on-chip","automating human decision-making;SoC design;Moore's law scaling;power-related challenges;human decision-making space;design automation tools;human designers;human intervention;machine learning approach;RL;machine learning technique;design time;human designs;automate tasks;human experience;human decision-making;human design experience","","","","18","IEEE","20 Sep 2018","","","IEEE","IEEE Conferences"
"RLBrowse: Generating Realistic Packet Traces with Reinforcement Learning","A. Griessel; M. Stephan; M. Mieth; W. Kellerer; P. Krämer","Technical University of Munich, Munich, Germany; Technical University of Munich, Munich, Germany; Ipoque GmbH - A Rohde&Schwarz Company, Leipzig, Germany; Technical University of Munich, Munich, Germany; Technical University of Munich, Munich, Germany","NOMS 2022-2022 IEEE/IFIP Network Operations and Management Symposium","9 Jun 2022","2022","","","1","6","Automated Web Browsing tools, such as Selenium and headless browsers, are used to collect traffic traces from networked applications, with which statistical models describing the traffic are obtained. However, we show that traces from Selenium and headless browsers have markedly different traffic characteristics than human generated traces, with potential impact on the quality of the obtained models. To overcome this limitation, we propose RLBrowse, an automated web automation framework that imitates human browsing habits by separating web automation from the browser using reinforcement learning. By separating the browser and automation tool, RLBrowse improves on 9 out of the 13 traffic trace features tested. The distribution of packet sizes in a trace improves the most, with a nearly 400 % improvement. We test RLBrowse by collecting a corpus of network packet traces on a set of human-navigated website browsing sessions, and by RLBrowse and Selenium. In the subsequent analysis, we identify key differences in the resulting packet traces.","2374-9709","978-1-6654-0601-7","10.1109/NOMS54207.2022.9789851","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9789851","","Visualization;Automation;Navigation;Reinforcement learning;Data collection;Data models;Browsers","Internet;online front-ends;reinforcement learning","RLBrowse;reinforcement learning;Selenium;headless browsers;traffic traces;statistical models;traffic characteristics;human generated traces;human browsing habits;browser;automation tool;packet sizes;network packet traces;human-navigated Web site browsing sessions;traffic trace features;automated Web automation framework;Web browsing tools;realistic packet traces","","","","28","IEEE","9 Jun 2022","","","IEEE","IEEE Conferences"
"Encoder-Decoder Neural Network Architecture for solving Job Shop Scheduling Problems using Reinforcement Learning","R. Magalhães; M. Martins; S. Vieira; F. Santos; J. Sousa","IDMEC lnstituto Superior Técnico, Lisbon, Portugal; IDMEC lnstituto Superior Técnico, Lisbon, Portugal; IDMEC lnstituto Superior Técnico, Lisbon, Portugal; IDMEC lnstituto Superior Técnico, Lisbon, Portugal; IDMEC lnstituto Superior Técnico, Lisbon, Portugal","2021 IEEE Symposium Series on Computational Intelligence (SSCI)","24 Jan 2022","2021","","","01","08","This paper proposes an Encoder-Decoder neural network architecture with Attention Mechanism for solving the DRC-FJSSP using Deep Q-Learning. In the DRC-FJSSP the number of operations to schedule is problem dependent. Current state-of-the-art reinforcement learning methods arbitrarily simplify the input information to a fixed-size feature input vector. This way, they end up losing relevant problem information for a large enough number of operations. Furthermore, on the one hand, human schedulers tend to optimize production schedules by moving operations individually into more adequate positions in the schedule. On the other hand, the aforementioned state-of-the-art methods apply heuristics recurrently as their optimization procedure. These limitations come as the cost of the neural network architecture, which is limited to fixed-size inputs and outputs. The architecture proposed in this paper is a Recurrent Neural Network, which enables it to work with inputs and outputs of variable sizes. This decisive feature makes it possible for the agent to move a specific operation to a more adequate position in the schedule and receive explicit problem information, such as the processing times of all operations. In the end, this approach proved to be competitive with a state-of-the-art metaheuristic method, the KGFOA. This promising results come even with a limitation in the available computational resources, which only allowed the development of scarcely trained agent.","","978-1-7281-9048-8","10.1109/SSCI50451.2021.9659849","FCT, through IDMEC, under LAETA(grant numbers:UIDP/50022/2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9659849","Job-Shop Scheduling;Reinforcement Learning;Deep Q-Learning;Encoder-Decoder;Attention Mechanism;Pointer Networks","Training;Schedules;Q-learning;Recurrent neural networks;Metaheuristics;Computer architecture;Artificial neural networks","deep learning (artificial intelligence);heuristic programming;job shop scheduling;metaheuristics;optimisation;production control;production engineering computing;recurrent neural nets;reinforcement learning","encoder-decoder neural network architecture;job shop scheduling problems;reinforcement learning;DRC-FJSSP;human schedulers;production schedules;recurrent neural network;state-of-the-art metaheuristic method;deep Q-learning;state-of-the-art reinforcement learning methods;fixed-size feature input vector;heuristics model;optimization process;KGFOA","","","","22","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"Sample-Efficient Reinforcement Learning for Pose Regulation of a Mobile Robot","W. Brescia; L. De Cicco; S. Mascolo","Politecnico di Bari, Bari, Italy; Politecnico di Bari, Bari, Italy; Politecnico di Bari, Bari, Italy","2022 11th International Conference on Control, Automation and Information Sciences (ICCAIS)","30 Dec 2022","2022","","","42","47","Reinforcement Learning (RL) has gained interest in the control and automation communities thanks to its encouraging results in many challenging control problems without requiring a model of the system and of the environment. Yet, it is well-known that employing such a learning-based approach in real scenarios may be problematic, as a prohibitive amount of data might be required to converge to an optimal control policy. In this work, we equip a popular RL algorithm with two tools to improve exploration effectiveness and sample efficiency: the Episodic Noise, that helps useful subsets of actions emerge already in the first few training episodes, and the Difficulty Manager, that generates goals proportioned to the current agent’s capabilities. We demonstrate the effectiveness of such proposed tools on a pose regulation task of a four wheel steering four wheel driving robot, suitable for a wide range of industrial scenarios. The resulting agent learns effective sets of actions in just a few hundreds training epochs, reaching satisfactory performance during tests.","2475-7896","978-1-6654-5248-9","10.1109/ICCAIS56082.2022.9990480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990480","Deep Reinforcement Learning;Mobile Robots;TD3;Sample Efficiency","Training;Automation;Service robots;Wheels;Optimal control;Reinforcement learning;Regulation","learning (artificial intelligence);mobile robots;multi-agent systems;optimal control","automation communities thanks;challenging control problems;current agent;Episodic Noise;exploration effectiveness;industrial scenarios;learning-based approach;mobile robot;optimal control policy;popular RL algorithm;pose regulation;regulation task;resulting agent;sample efficiency;sample-efficient reinforcement Learning;training episodes;wheel driving robot","","","","16","IEEE","30 Dec 2022","","","IEEE","IEEE Conferences"
"Implementation and evaluation of NoisyNets to reinforcement learning of automated ICT system design","T. Zhou; Y. Yakuwa; N. Okamura; T. Kuroda; I. E. Yairi","Graduate School of Science and Technology, Sophia University, 7-1 Kioi-cho, Chiyoda-ku, Tokyo, 102-8554, Japan; NEC Corporation, 5-7-1, Shiba, Minato-ku, Tokyo, Japan; Graduate School of Science and Technology, Sophia University, 7-1 Kioi-cho, Chiyoda-ku, Tokyo, 102-8554, Japan; NEC Corporation, 5-7-1, Shiba, Minato-ku, Tokyo, Japan; Graduate School of Science and Technology, Sophia University, 7-1 Kioi-cho, Chiyoda-ku, Tokyo, 102-8554, Japan","IEICE Communications Express","","2023","PP","99","1","4","This paper proposes to apply the method with an additional noisy layer to the structure of the graph neural network for reinforcement learning in automated design technology for information and communication systems. The automated design technology has an elementary problem of huge learning time caused by overestimating a specific configuration because of hardly ever rewards despite huge exploration space with a vast combination of selections, arrangements, and connections. The parametric noise applied to the network is learned with gradient descent and the remaining network weights to reduce this harmful overestimation during learning and increase the design exploration efficiency. The evaluation result showed that using the proposed algorithm for our automated design technology in development could shorten 15% of the episodes needed for learning to converge.","2187-0136","","10.23919/comex.2023XBL0101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287235","network system design;design automation;machine learning;reinforcement learning","Noise measurement;Reinforcement learning;System analysis and design;Topology;Convergence;Artificial neural networks;Graph neural networks","","","","","","","","17 Oct 2023","","","IEICE","IEICE Early Access Articles"
"Controlled Deep Reinforcement Learning for Optimized Slice Placement","J. J. Alves Esteves; A. Boubendir; F. Guillemin; P. Sens","Orange Labs, France; Orange Labs, France; Orange Labs, France; Sorbonne Universit&#x00E9; / CNRS / Inria, LIP6, France","2021 IEEE International Mediterranean Conference on Communications and Networking (MeditCom)","23 Dec 2021","2021","","","20","22","We present a hybrid ML-heuristic approach that we name ""Heuristically Assisted Deep Reinforcement Learning (HA-DRL)"" to solve the problem of Network Slice Placement Optimization. The proposed approach leverages recent works on Deep Reinforcement Learning (DRL) for slice placement and Virtual Network Embedding (VNE) and uses a heuristic function to optimize the exploration of the action space by giving priority to reliable actions indicated by an efficient heuristic algorithm. The evaluation results show that the proposed HA-DRL algorithm can accelerate the learning of an efficient slice placement policy improving slice acceptance ratio when compared with state-of-the-art approaches that are based only on reinforcement learning.","","978-1-6654-4505-4","10.1109/MeditCom49071.2021.9647662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647662","Network Slicing;Optimization;Automation;Deep Reinforcement Learning;Placement;Large Scale","Training;Scalability;Heuristic algorithms;Conferences;Reinforcement learning;Parallel processing;Collaborative work","computer network reliability;deep learning (artificial intelligence);optimisation;reinforcement learning;virtualisation","hybrid ML-heuristic approach;network slice placement optimization;virtual network embedding;heuristic function;heuristic algorithm;HA-DRL algorithm;slice acceptance ratio;slice placement policy;optimized slice placement;deep reinforcement learning","","","","5","IEEE","23 Dec 2021","","","IEEE","IEEE Conferences"
"Learning to Grasp on the Moon from 3D Octree Observations with Deep Reinforcement Learning","A. Orsula; S. Bøgh; M. Olivares-Mendez; C. Martinez","Space Robotics Research Group (SpaceR), Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg; Department of Materials and Production, Robotics & Automation Group, Aalborg University, Denmark; Space Robotics Research Group (SpaceR), Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg; Space Robotics Research Group (SpaceR), Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg","2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","26 Dec 2022","2022","","","4112","4119","Extraterrestrial rovers with a general-purpose robotic arm have many potential applications in lunar and planetary exploration. Introducing autonomy into such systems is desirable for increasing the time that rovers can spend gathering scientific data and collecting samples. This work investigates the applicability of deep reinforcement learning for vision-based robotic grasping of objects on the Moon. A novel simulation environment with procedurally-generated datasets is created to train agents under challenging conditions in unstructured scenes with uneven terrain and harsh illumination. A model-free off-policy actor-critic algorithm is then employed for end-to-end learning of a policy that directly maps compact octree observations to continuous actions in Cartesian space. Experimental evaluation indicates that 3D data representations enable more effective learning of manipulation skills when compared to traditionally used image-based observations. Domain randomization improves the generalization of learned policies to novel scenes with previously unseen objects and different illumination conditions. To this end, we demonstrate zero-shot sim-to-real transfer by evaluating trained agents on a real robot in a Moon-analogue facility. The source code and datasets are available at https://github.com/AndrejOrsula/drl_grasping.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9981661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981661","","Deep learning;Three-dimensional displays;Source coding;Moon;Octrees;Lighting;Reinforcement learning","data visualisation;learning (artificial intelligence);manipulators;mobile robots;octrees;planetary rovers;robot vision","3D data representations;3D octree observations;collecting samples;deep reinforcement learning;different illumination conditions;effective learning;end-to-end learning;extraterrestrial rovers;general-purpose robotic arm;grasp;learned policies;maps compact octree observations;model-free off-policy actor-critic;Moon-analogue facility;planetary exploration;procedurally-generated datasets;scientific data;traditionally used image-based observations","","2","","42","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"The Study of a Textile Punching Robot Based on Combined Deep Reinforcement Learning","W. Li; D. Chen; J. Dai; J. Le","School of Computer Science and Technology, Donghua University, Shanghai, China; School of Computer Science and Technology, Donghua University, Shanghai, China; School of Mechanical Engineering, Donghua University, Shanghai, China; School of Computer Science and Technology, Donghua University, Shanghai, China","2018 International Conference on Cloud Computing, Big Data and Blockchain (ICCBB)","11 Jul 2019","2018","","","1","8","Punching of textile uppers is an important process in the shoe production line, which determines the accuracy of positioning and affects all subsequent shoemaking steps. At present, there are few researches on the 3-DOF punching robot in this field. The critical value of the punching force of the end mechanism is not clear, and the punching path planning is not adopted with a suitable algorithm, resulting in large power consumption and low work efficiency. Therefore, this paper describes the design of a punching robot to meet the action requirements of punching the textile uppers and complete the path planning to improve efficiency. The first step is to model a 3-DOF robot for textile upper punching including rail type and articulated type to meet the needs of punching movements. The second step is to gain the lowest critical value of the pressure with ANSYS by simulating deformation process when the punch punches in the vamp until breaks it. And this outcome is the theory basis for motor selection and robot design. The third step is multi-point punching path planning, where a combined deep reinforcement learning (DRL) method is proposed. The DRL pre-training is performed through asynchronous advantage actor-critic (A3C). Training data is adopted to optimize the recurrent neural networks (RNN) that parameterizes the stochastic policy. Then the inspire planning (IP) algorithm is conducted to get the optimal path. The experimental results show that this method can jump out of the local optimal solution and outperform other state-of-the-art methods.","7281-1277","978-1-7281-1277-0","10.1109/ICCBB.2018.8756483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756483","3-DOF robot;Dynamic simulation of punching;Path planning;Combined deep reinforcement learning;Asynchronous advantage actor-critic","Punching;Textiles;Stress;Robots;Finite element analysis;Path planning;Strain","control engineering computing;footwear industry;industrial manipulators;learning (artificial intelligence);manipulator dynamics;mobile robots;path planning;production engineering computing;punching;recurrent neural nets","shoe production line;punching force;punching movements;multipoint punching path planning;textile punching robot;deep reinforcement learning;rail type;textile upper punching;shoemaking steps;3-DOF punching robot;ANSYS;deformation process simulation;motor selection;robot design;asynchronous advantage actor-critic;recurrent neural networks;inspire planning","","","","19","IEEE","11 Jul 2019","","","IEEE","IEEE Conferences"
"Solving Multi-objective Reinforcement Learning Problems by EDA-RL - Acquisition of Various Strategies","H. Handa","Graduate School of Natural Science and Technology, Okayama University, Okayama, Japan","2009 Ninth International Conference on Intelligent Systems Design and Applications","28 Dec 2009","2009","","","426","431","EDA-RL, estimation of distribution algorithms for reinforcement learning problems, have been proposed by us recently. The EDA-RL can improve policies by EDA scheme: First, select better episodes. Secondly, estimate probabilistic models, i.e., policies, and finally, interact with the environment for generating new episodes. In this paper, the EDA-RL is extended for multi-objective reinforcement learning problems, where reward is given by several criteria. By incorporating the notions in evolutionary multi-objective optimization, the proposed method is enable to acquire various strategies by a single run.","2164-7151","978-1-4244-4735-0","10.1109/ISDA.2009.92","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364903","Estimation of Distribution Algorithms;Reinforcement Learning Problems;Evolutionary Multi-Objective Optimisation","Learning;Electronic design automation and methodology;Evolutionary computation;Safety;Markov random fields;Intelligent systems;Optimization methods;State estimation;Probability distribution;Design optimization","evolutionary computation;learning (artificial intelligence);optimisation;probability","multiobjective reinforcement learning problems;distribution algorithms;probabilistic models;evolutionary multi-objective optimization","","11","","6","IEEE","28 Dec 2009","","","IEEE","IEEE Conferences"
"Falling avoidance control of acrobat robot by reinforcement learning","T. Kochiya; M. Yamakita","Department of Mechanical and Control Systems Eng, Tokyo Institute of Technology, Tokyo, Japan; RIKEN Institute of Physical and Chemical Research, Nagoya, Japan","SICE Annual Conference 2007","7 Jan 2008","2007","","","322","326","In this study a landing control of an acrobat robot is considered and Q-learning method is applied for falling avoidance control. Since the dynamics of the system is changed according to contact conditions to the ground, the system is a typical variable constraint and hybrid system. The state space for the Q-learning consists of discrete mode variable and continuous states. It is shown by numerical simulations that taking a step motion is automatically generated and falling down is avoided properly.","","978-4-907764-27-2","10.1109/SICE.2007.4421000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4421000","Variable constraint system;Q-learning;Hybrid system","Robot control;Learning;Control systems;Chemical technology;Mechanical variables control;Numerical simulation;Orbital robotics;State-space methods;Robotics and automation;Motion control","collision avoidance;learning (artificial intelligence);mobile robots","falling avoidance control;acrobat robot;reinforcement learning;landing control;Q-learning method;discrete mode variable","","6","","6","","7 Jan 2008","","","IEEE","IEEE Conferences"
