"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Reinforcement Learning-Based Physical Cross-Layer Security and Privacy in 6G","X. Lu; L. Xiao; P. Li; X. Ji; C. Xu; S. Yu; W. Zhuang","Department of Information and Communication Engineering, Xiamen University, Xiamen, China; Department of Information and Communication Engineering, Xiamen University, Xiamen, China; Department of Information and Communication Engineering, Xiamen University, Xiamen, China; Department of Automation, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Peking University, Beijing, China; Faculty of Engineering and Information Technology, University of Technology Sydney, Ultimo, NSW, Australia; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada","IEEE Communications Surveys & Tutorials","23 Feb 2023","2023","25","1","425","466","Sixth-generation (6G) cellular systems will have an inherent vulnerability to physical (PHY)-layer attacks and privacy leakage, due to the large-scale heterogeneous networks with booming time-sensitive applications. Important wireless techniques including non-orthogonal multiple access, mobile edge computing, millimeter-wave, massive multiple-input and multiple-output, visible light communication, terahertz, and intelligent reflecting surface can improve the spectrum efficiency and quality-of-service but will raise challenges for the 6G PHY and cross-layer security and privacy protection. Existing optimization based PHY and cross-layer security and privacy protection schemes such as the convex optimization method have to rely on accurate attack patterns and strategies and thus suffer from performance degradation in 6G systems that have shorter communication latency, more devices and higher spectrum efficiency than 5G. Reinforcement learning (RL) algorithms help wireless devices optimize their security policies to enhance the security performance in dynamic networks against smart attacks without depending on the attack model. Therefore, this article provides a comprehensive survey on the RL based 6G PHY cross-layer security and privacy protection. In this article, we investigate the potential attacks in 6G systems and discuss the PHY cross-layer security solutions. A brief overview of reinforcement learning algorithms is provided. Afterward, we review the RL based PHY-layer security and privacy protection and discuss how to apply RL algorithms in 6G security scenarios, especially focusing on the game with jammers, eavesdroppers, spoofers and inference attackers. The RL based security solutions for unmanned aerial vehicles (UAVs) and cross-layer scenarios are also reviewed. The future research directions are identified and the corresponding RL based potential solutions are discussed for 6G.","1553-877X","","10.1109/COMST.2022.3224279","Natural Science Foundation of China(grant numbers:U21A20444,62202222,61971366,U22B2062); Natural Science Foundation of Jiangsu Province(grant numbers:BK20220880); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9961877","6G;PHY-layer security;privacy;reinforcement learning;secure communications;UAVs;cross-layer security","Security;Jamming;6G mobile communication;Cross layer design;NOMA;Millimeter wave communication;Visible light communication","6G mobile communication;autonomous aerial vehicles;cellular radio;data privacy;jamming;reinforcement learning;telecommunication security","6G cellular systems;higher spectrum efficiency;inference attackers;physical cross-layer security;privacy protection;reinforcement learning algorithms;security performance;security policies;sixth-generation cellular systems;smart attacks;UAV;unmanned aerial vehicles","","8","","220","IEEE","23 Nov 2022","","","IEEE","IEEE Journals"
"Coordinated Complex-Valued Encoding Dragonfly Algorithm and Artificial Emotional Reinforcement Learning for Coordinated Secondary Voltage Control and Automatic Voltage Regulation in Multi-Generator Power Systems","L. Yin; S. Luo; Y. Wang; F. Gao; J. Yu","College of Electrical Engineering, Guangxi University, Nanning, China; College of Electrical Engineering, Guangxi University, Nanning, China; Institute of Intelligent Machines, Chinese Academy of Sciences, Hefei, China; College of Electrical Engineering, Guangxi University, Nanning, China; Department of Automation, University of Science and Technology of China, Hefei, China","IEEE Access","9 Oct 2020","2020","8","","180520","180533","This article proposes a coordinated optimization and control algorithm for coordinated secondary voltage control (CSVC) in multi-generator power systems. Firstly, to obtain a smaller voltage deviation and avoid the curse of dimensionality simultaneously, an artificial emotional reinforcement learning (AERL) is applied to automatic voltage regulation (AVR). Secondly, to obtain a smaller fitness value with lesser random for the decentralized independent variables optimization problem of the CSVC, a complex-valued encoding dragonfly algorithm (CDA) is proposed. Thirdly, the CDA and the AERL are coordinated for the CSVC and the AVR in multi-generator power systems. To verify the control performance of the AERL and the convergence of the proposed CDA, three simulation cases, i.e., IEEE 57-bus, 118-bus and 300-bus systems, are considered. The simulation results show that the CDA-AERL effectively obtains the smallest control objectives and the convergence for the CSVC in multi-generator power systems.","2169-3536","","10.1109/ACCESS.2020.3028064","Guangxi Natural Science Foundation(grant numbers:AD19245001,2020GXNSFBA159025); National Natural Science Foundation of China(grant numbers:61773359,61720106009); National Natural Science Foundation of China(grant numbers:U1736123); University of Science and Technology of China (USTC) Research Funds of the Double First-Class Initiative(grant numbers:YD2350002001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9210555","Coordinated secondary voltage control;artificial emotional reinforcement learning;complex-valued encoding dragonfly algorithm;automatic voltage regulation;multi-generator power systems","Voltage control;Optimization;Power system stability;Learning (artificial intelligence);Static VAr compensators;Heuristic algorithms","control engineering computing;learning (artificial intelligence);optimisation;power engineering computing;power generation control;voltage control;voltage regulators","coordinated complex-valued encoding dragonfly algorithm;artificial emotional reinforcement learning;coordinated secondary voltage control;automatic voltage regulation;multigenerator power systems;CSVC;AERL;decentralized independent variables optimization problem;CDA;AVR;IEEE 57-bus system;IEEE 118-bus system;IEEE 300-bus system","","8","","58","CCBY","1 Oct 2020","","","IEEE","IEEE Journals"
"A Basal Ganglia Network Centric Reinforcement Learning Model and Its Application in Unmanned Aerial Vehicle","Y. Zeng; G. Wang; B. Xu","Center for Excellence in Brain Science and Intelligence Technology, Chinese Academy of Sciences, Shanghai, China; Institute of Automation, Chinese Academy of Science, Beijing, China; Center for Excellence in Brain Science and Intelligence Technology, Chinese Academy of Sciences, Shanghai, China","IEEE Transactions on Cognitive and Developmental Systems","8 Jun 2018","2018","10","2","290","303","Reinforcement learning brings flexibility and generality for machine learning, while most of them are mathematical optimization driven approaches, and lack of cognitive and neural evidence. In order to provide a more cognitive and neural mechanisms driven foundation and validate its applicability in complex task, we develop a basal ganglia (BG) network centric reinforcement learning model. Compared to existing work on modeling BG, this paper is unique from the following perspectives: 1) the orbitofrontal cortex (OFC) is taken into consideration. OFC is critical in decision making because of its responsibility for reward representation and is critical in controlling the learning process, while most of the BG centric models do not include OFC; 2) to compensate the inaccurate memory of numeric values, precise encoding is proposed to enable working memory system remember important values during the learning process. The method combines vector convolution and the idea of storage by digit bit and is efficient for accurate value storage; and 3) for information coding, the Hodgkin-Huxley model is used to obtain a more biological plausible description of action potential with plenty of ionic activities. To validate the effectiveness of the proposed model, we apply the model to the unmanned aerial vehicle (UAV) autonomous learning process in a 3-D environment. Experimental results show that our model is able to give the UAV the ability of free exploration in the environment and has comparable learning speed as the Q learning algorithm, while the major advances for our model is that it is with solid cognitive and neural basis.","2379-8939","","10.1109/TCDS.2017.2649564","Strategic Priority Research Program of the Chinese Academy of Sciences(grant numbers:XDB02060007); Beijing Municipal Commission of Science and Technology(grant numbers:Z151100000915070,Z161100000216124); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7809052","Basal ganglia (BG) network;brain-inspired intelligence;precise encoding;reinforcement learning model;unmanned aerial vehicle (UAV) autonomous learning","Brain modeling;Biological system modeling;Computational modeling;Reinforcement learning;Task analysis;Unmanned aerial vehicles;Solid modeling","autonomous aerial vehicles;cognition;decision making;learning (artificial intelligence);neural nets","neural mechanisms;basal ganglia network centric reinforcement learning model;OFC;BG centric models;working memory system;accurate value storage;Hodgkin-Huxley model;unmanned aerial vehicle autonomous learning process;Q learning algorithm;machine learning;mathematical optimization driven approaches;neural evidence;cognitive mechanisms;learning speed;vector convolution;information coding;3-D environment;neural basis;solid cognitive basis","","8","","45","IEEE","6 Jan 2017","","","IEEE","IEEE Journals"
"Reinforcement Learning Based Underwater Wireless Optical Communication Alignment for Autonomous Underwater Vehicles","Y. Weng; J. Pajarinen; R. Akrour; T. Matsuda; J. Peters; T. Maki","Institute of Industrial Science, The University of Tokyo, Tokyo, Japan; Intelligent Autonomous Systems Laboratory, Technische Universität Darmstadt, Darmstadt, Germany; Intelligent Autonomous Systems Laboratory, Technische Universität Darmstadt, Darmstadt, Germany; Institute of Industrial Science, The University of Tokyo, Tokyo, Japan; Intelligent Autonomous Systems Laboratory, Technische Universität Darmstadt, Darmstadt, Germany; Institute of Industrial Science, The University of Tokyo, Tokyo, Japan","IEEE Journal of Oceanic Engineering","12 Oct 2022","2022","47","4","1231","1245","With the developments in underwater wireless optical communication (UWOC) technology, UWOC can be used in conjunction with autonomous underwater vehicles (AUVs) for high-speed data sharing among the vehicle formation during underwater exploration. A beam alignment problem arises during communication due to the transmission range, external disturbances and noise, and uncertainties in the AUV dynamic model. In this article, we propose an acoustic navigation method to guide the alignment process without requiring beam directors, light intensity sensors, and/or scanning algorithms as used in previous research. The AUVs need stably maintain a specific relative position and orientation for establishing an optical link. We model the alignment problem as a partially observable Markov decision process (POMDP) that takes manipulation, navigation, and energy consumption of underwater vehicles into account. However, finding an efficient policy for the POMDP under high partial observability and environmental variability is challenging. Therefore, for successful policy optimization, we utilize the soft actor–critic reinforcement learning algorithm together with AUV-specific belief updates and reward shaping based curriculum learning. Our approach outperformed baseline approaches in a simulation environment and successfully performed the beam alignment process from one AUV to another on the real AUV Tri-TON 2.","1558-1691","","10.1109/JOE.2022.3165805","Institute of Industrial Science; University of Tokyo; Technische Universität Darmstadt; Continental Automotive Corporation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9832941","Autonomous underwater vehicle (AUV);partially observable Markov decision process (POMDP);reinforcement learning (RL);soft actor–critic (SAC);underwater wireless optical communication (UWOC)","Optical beams;Reinforcement learning;Underwater communication;Autonomous underwater vehicles;Markov processes;Wireless communication","autonomous underwater vehicles;control engineering computing;decision theory;energy consumption;Markov processes;mobile robots;navigation;optical links;reinforcement learning;robot dynamics;telecommunication computing;underwater acoustic communication;underwater optical wireless communication","acoustic navigation method;autonomous underwater vehicles;AUV dynamic model;AUV Tri-TON;AUV-specific belief updates;beam alignment problem;beam directors;energy consumption;external disturbances;high-speed data sharing;optical link;partial observability;partially observable Markov decision process;soft actor-critic reinforcement learning;specific relative position;underwater exploration;underwater wireless optical communication alignment;underwater wireless optical communication technology;UWOC;vehicle formation","","7","","53","IEEE","19 Jul 2022","","","IEEE","IEEE Journals"
"Network Selection Based on Evolutionary Game and Deep Reinforcement Learning in Space-Air-Ground Integrated Network","K. Fan; B. Feng; X. Zhang; Q. Zhang","Communication Engineering Research Centre, Harbin Institute of Technology (Shenzhen), Shenzhen, Guangdong, China; Communication Engineering Research Centre, Harbin Institute of Technology (Shenzhen), Shenzhen, Guangdong, China; School of Automation Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Communication Engineering Research Centre, Harbin Institute of Technology (Shenzhen), Shenzhen, Guangdong, China","IEEE Transactions on Network Science and Engineering","24 May 2022","2022","9","3","1802","1812","In next generation communication system, space-air-ground integrated network (SAGIN) would be utilized to provide ubiquitous and unlimited wireless connectivity with large coverage, high throughput, and strong resilience. In this integrated network, there are multiple heterogeneous network options to satisfy service requirements, where an efficient network selection strategy is required to improve resource utilization and achieve load balance. In this paper, we propose a system model of network selection in SAGIN and formulate a corresponding evolutionary game. A network selection algorithm based on evolutionary game is proposed to study the autonomous decision-making process of network selection as a supplement. We also propose a deep deterministic policy gradient (DDPG)-based network selection algorithm to handle continuous and high-dimensional action spaces. A particular case is studied for further simulation and analysis. The evolutionary game obtains the selection strategy with the highest payoff at the evolutionary equilibrium point, and the stability of evolutionary equilibrium is proved by varying relative factors. The DDPG-based network selection algorithm obtains the same strategy with the highest reward at convergence at a slower speed. In comprehensive comparison, our proposed algorithms perform better than the repeated stochastic game approach and proximal policy optimization (PPO) algorithm.","2327-4697","","10.1109/TNSE.2022.3153480","National Natural Science Foundation of China(grant numbers:61831008,62027802); Guangdong Science and Technology Planning(grant numbers:2018B030322004,2021A1515110071); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9720158","Deep reinforcement learning;evolutionary game;network selection;space-air-ground integrated network","Games;Satellites;Heuristic algorithms;Throughput;Game theory;Statistics;Sociology","decision making;deep learning (artificial intelligence);evolutionary computation;gradient methods;next generation networks;reinforcement learning;resource allocation;space communication links;stochastic games","space-air-ground integrated network;multiple heterogeneous network options;efficient network selection strategy;corresponding evolutionary game;deep deterministic policy gradient-based network selection algorithm;evolutionary equilibrium point;DDPG-based network selection algorithm;next generation communication system;stochastic game approach;proximal policy optimization algorithm","","7","","28","IEEE","23 Feb 2022","","","IEEE","IEEE Journals"
"Timesharing-tracking framework for decentralized reinforcement learning in fully cooperative multi-agent system","X. Chen; B. Fu; Y. He; M. Wu","School of Automation, China University of Geo-sciences, Wuhan 430074, China; School of Information Science and Engineering, Central South University, Changsha 410083, China; Central South University, Changsha, Hunan, CN; China University of Geosciences, Wuhan, Hubei, CN; China University of Geosciences, Wuhan, Hubei, CN","IEEE/CAA Journal of Automatica Sinica","15 Jan 2015","2014","1","2","127","133","Dimension-reduced and decentralized learning is always viewed as an efficient way to solve multi-agent cooperative learning in high dimension. However, the dynamic environment brought by the concurrent learning makes the decentralized learning hard to converge and bad in performance. To tackle this problem, a timesharing-tracking framework (TTF), stemming from the idea that alternative learning in microscopic view results in concurrent learning in macroscopic view, is proposed in this paper, in which the joint-state best-response Q-learning (BRQ-learning) serves as the primary algorithm to adapt to the companions' policies. With the properly defined switching principle, TTF makes all agents learn the best responses to others at different joint states. Thus from the view of the whole joint-state space, agents learn the optimal cooperative policy simultaneously. The simulation results illustrate that the proposed algorithm can learn the optimal joint behavior with less computation and faster speed compared with other two classical learning algorithms.","2329-9274","","10.1109/JAS.2014.7004541","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004541","Cooperative multi-agent system;reinforcement learning;immediate individual reward;timesharing tracking","Multi-agent systems;Learning (artificial intelligence);Switches;Reinforcement learning;Optimization;Robots;Games","learning (artificial intelligence);multi-agent systems;multi-robot systems","timesharing-tracking framework;decentralized reinforcement learning;fully cooperative multiagent system;TTF;alternative learning;concurrent learning;joint-state best-response Q-learning;BRQ-learning;switching principle;optimal cooperative policy learning","","7","","","","15 Jan 2015","","","IEEE","IEEE Journals"
"Data-Efficient Reinforcement Learning for Energy Optimization of Power-Assisted Wheelchairs","G. Feng; L. Buşoniu; T. -M. Guerra; S. Mohammad","LAMIH UMR CNRS 8201, Université Polytechnique Hauts-de-France, Valenciennes, France; Department of Automation, Technical University of Cluj-Napoca, Cluj-Napoca, Romania; LAMIH UMR CNRS 8201, Université Polytechnique Hauts-de-France, Valenciennes, France; Autonomad Mobility, Valenciennes, France","IEEE Transactions on Industrial Electronics","1 Aug 2019","2019","66","12","9734","9744","The objective of this paper is to develop a method for assisting users to push power-assisted wheelchairs (PAWs) in such a way that the electrical energy consumption over a predefined distance-to-go is optimal, while at the same time bringing users to a desired fatigue level. This assistive task is formulated as an optimal control problem and solved by Feng et al. using the model-free approach gradient of partially observable Markov decision processes. To increase the data efficiency of the model-free framework, we here propose to use policy learning by weighting exploration with the returns (PoWER) with 25 control parameters. Moreover, we provide a new near-optimality analysis of the finite-horizon fuzzy Q-iteration, which derives a model-based baseline solution to verify numerically the near-optimality of the presented model-free approaches. Simulation results show that the PoWER algorithm with the new parameterization converges to a near-optimal solution within 200 trials and possesses the adaptability to cope with changes of the human fatigue dynamics. Finally, 24 experimental trials are carried out on the PAW system, with fatigue feedback provided by the user via a joystick. The performance tends to increase gradually after learning. The results obtained demonstrate the effectiveness and the feasibility of PoWER in our application.","1557-9948","","10.1109/TIE.2019.2903751","French Ministry of Research; Romanian Ministry of Research and Innovation; CNCS-UEFISCDI(grant numbers:PN-III-P1-1.1-TE-2016-0670); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8667013","Assistive control;disabled persons;power-assisted wheelchairs;reinforcement learning","Fatigue;Wheelchairs;Numerical models;Adaptation models;Heuristic algorithms;Force;Optimal control","decision theory;handicapped aids;learning (artificial intelligence);learning systems;Markov processes;optimal control;optimisation;wheelchairs","data-efficient reinforcement learning;energy optimization;power-assisted wheelchairs;electrical energy consumption;predefined distance-to-;desired fatigue level;assistive task;optimal control problem;partially observable Markov decision processes;data efficiency;model-free framework;policy learning;near-optimality analysis;finite-horizon fuzzy Q-iteration;model-based baseline solution;PoWER algorithm;near-optimal solution;control parameters","","7","","25","IEEE","13 Mar 2019","","","IEEE","IEEE Journals"
"WD3: Taming the Estimation Bias in Deep Reinforcement Learning","Q. He; X. Hou","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Institute of Automation, Chinese Academy of Sciences, Beijing, China","2020 IEEE 32nd International Conference on Tools with Artificial Intelligence (ICTAI)","24 Dec 2020","2020","","","391","398","The overestimation phenomenon caused by function approximation is a well-known issue in value-based reinforcement learning algorithms such as deep Q-networks and DDPG, which could lead to suboptimal policies. To address this issue, TD3 takes the minimum value between a pair of critics, which introduces underestimation bias. By unifying these two opposites, we propose a novel Weighted Delayed Deep Deterministic Policy Gradient algorithm, which can reduce the estimation error and further improve the performance by weighting a pair of critics. We compare the learning process of value function between DDPG, TD3, and our proposed algorithm, which verifies that our algorithm could indeed eliminate the estimation error of value function. We evaluate our algorithm in the OpenAI Gym continuous control tasks, outperforming the state-of-the-art algorithms on every environment tested.","2375-0197","978-1-7281-9228-4","10.1109/ICTAI50040.2020.00068","National Key R&D Program of China(grant numbers:2017YFC1200601); National Natural Science Foundation of China(grant numbers:31672325); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9288293","Deep reinforcement learning;estimation bias;neural networks","Estimation error;Conferences;Neural networks;Reinforcement learning;Tools;Function approximation;Task analysis","function approximation;gradient methods;learning (artificial intelligence)","DDPG;suboptimal policies;TD3;novel Weighted Delayed Deep Deterministic Policy Gradient algorithm;estimation error;learning process;value function;WD3;estimation bias;Deep reinforcement learning;overestimation phenomenon;function approximation;value-based reinforcement learning algorithms;deep Q-networks","","7","","35","IEEE","24 Dec 2020","","","IEEE","IEEE Conferences"
"Dynamic Event-Sampled Control of Interconnected Nonlinear Systems Using Reinforcement Learning","X. Yang; M. Xu; Q. Wei","School of Electrical and Information Engineering, Tianjin University, Tianjin 300072, China.; School of Electrical and Information Engineering, Tianjin University, Tianjin 300072, China.; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China, and also with the School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing 100049, China.","IEEE Transactions on Neural Networks and Learning Systems","","2022","PP","99","1","15","We develop a decentralized dynamic event-based control strategy for nonlinear systems subject to matched interconnections. To begin with, we introduce a dynamic event-based sampling mechanism, which relies on the system's states and the variables generated by time-based differential equations. Then, we prove that the decentralized event-based controller for the whole system is composed of all the optimal event-based control policies of nominal subsystems. To derive these optimal event-based control policies, we design a critic-only architecture to solve the related event-based Hamilton-Jacobi-Bellman equations in the reinforcement learning framework. The implementation of such an architecture uses only critic neural networks (NNs) with their weight vectors being updated through the gradient descent method together with concurrent learning. After that, we demonstrate that the asymptotic stability of closed-loop nominal subsystems and the uniformly ultimate boundedness stability of critic NNs' weight estimation errors are guaranteed by using Lyapunov's approach. Finally, we provide simulations of a matched nonlinear-interconnected plant to validate the present theoretical claims.","2162-2388","","10.1109/TNNLS.2022.3178017","National Natural Science Foundation of China(grant numbers:61973228); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9789118","Adaptive dynamic programming (ADP);decentralized control;event-based control;interconnected system;reinforcement learning (RL).","Asymptotic stability;Interconnected systems;Decentralized control;Closed loop systems;Artificial neural networks;Optimal control;Nonlinear dynamical systems","","","","6","","","IEEE","6 Jun 2022","","","IEEE","IEEE Early Access Articles"
"Combining Reinforcement Learning and Rule-based Method to Manipulate Objects in Clutter","Y. Chen; Z. Ju; C. Yang","School of Automation Science and Engineering, South China University of Technology, Guangzhou, China; School of Computing, University of Portsmouth, Portsmouth, UK; Bristol Robotics Laboratory, University of the West of England, Bristol, UK","2020 International Joint Conference on Neural Networks (IJCNN)","28 Sep 2020","2020","","","1","6","Picking up the clustered objects is always a challenging task in robot research field. And reinforcement learning enables robot to adapt to different tasks through plenty of attempts. To reduce the complexity of strategy learning, we propose a framework for robots to pick up the objects in clutter on table based on deep reinforcement learning and rule-based method. To manipulate the objects on table, we mainly divide the robot actions into two categories: one is pushing that uses the reinforcement learning method, while the other one is grasping that is inferred by image morphological processing. The pushing action can separate the stacking objects, create a robust grasp point for the following grasp. The grasp detect algorithm determines if there is a suitable grasp point. Judging on the result of pushing, the grasp detect algorithm will return a reward for pushing learning. Taking images as input, our framework can keep a high grasp rate with low computational complexity, which makes it achieve clutter clearing quickly.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9207153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9207153","reinforcement learning;grasp detection;robot;clutter clearing","Reinforcement learning;Grasping;Robot kinematics;Task analysis;Clutter;Grippers","computational complexity;intelligent robots;learning (artificial intelligence);manipulators;neurocontrollers;robot vision","rule-based method;clustered objects;strategy learning;deep reinforcement learning;robot actions;pushing action;object stacking;robust grasp point;pushing learning;clutter clearing;grasp rate;object manipulation;grasping;image morphological processing;grasp detect algorithm;computational complexity","","6","","24","IEEE","28 Sep 2020","","","IEEE","IEEE Conferences"
