Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Leveraging Reinforcement Learning, Constraint Programming and Local Search: A Case Study in Car Manufacturing","Principles and Practice of Constraint Programming","","","","10.1007/978-3-030-58475-7_38","Valentin AntuoriEmmanuel HebrardMarie-José HuguetSiham EssodaiguiAlain Nguyen","2020","http://link.springer.com/chapter/10.1007/978-3-030-58475-7_38","Chapter"
"Reinforcement learning for robotic assembly of fuel cell turbocharger parts with tight tolerances","Production Engineering","","14","4","10.1007/s11740-020-00968-7","Franziska AscherslebenRudolf GriemertFelix GabrielKlaus Dröder","2020","http://link.springer.com/article/10.1007/s11740-020-00968-7","Article"
"Model-free Adaptive Optimal Control of Episodic Fixed-horizon Manufacturing Processes Using Reinforcement Learning","International Journal of Control, Automation and Systems","","18","6","10.1007/s12555-019-0120-7","Johannes DornheimNorbert LinkPeter Gumbsch","2020","http://link.springer.com/article/10.1007/s12555-019-0120-7","Article"
"Reinforcement learning for an intelligent and autonomous production control of complex job-shops under time constraints","Production Engineering","","14","3","10.1007/s11740-020-00967-8","Thomas AltenmüllerTillmann StükerBernd WaschneckAndreas KuhnleGisela Lanza","2020","http://link.springer.com/article/10.1007/s11740-020-00967-8","Article"
"Model-Based Reinforcement Learning Variable Impedance Control for Human-Robot Collaboration","Journal of Intelligent & Robotic Systems","","100","2","10.1007/s10846-020-01183-3","Loris RovedaJeyhoon MaskaniPaolo FranceschiArash AbdiFrancesco BraghinLorenzo Molinari TosattiNicola Pedrocchi","2020","http://link.springer.com/article/10.1007/s10846-020-01183-3","Article"
"Model accelerated reinforcement learning for high precision robotic assembly","International Journal of Intelligent Robotics and Applications","","4","2","10.1007/s41315-020-00138-z","Xin ZhaoHuan ZhaoPengfei ChenHan Ding","2020","http://link.springer.com/article/10.1007/s41315-020-00138-z","Article"
"Enterprise IoT Modeling: Supervised, Unsupervised, and Reinforcement Learning","Business Intelligence for Enterprise Internet of Things","","","","10.1007/978-3-030-44407-5_3","Rajesh Kumar DhanarajK. RajkumarU. Hariharan","2020","http://link.springer.com/chapter/10.1007/978-3-030-44407-5_3","Chapter"
"Multi-Agent Reinforcement Learning Tool for Job Shop Scheduling Problems","Optimization and Learning","","","","10.1007/978-3-030-41913-4_1","Yailen Martínez JiménezJessica Coto PalacioAnn Nowé","2020","http://link.springer.com/chapter/10.1007/978-3-030-41913-4_1","Chapter"
"Deep Reinforcement Learning as a Job Shop Scheduling Solver: A Literature Review","Hybrid Intelligent Systems","","","","10.1007/978-3-030-14347-3_34","Bruno CunhaAna M. MadureiraBenjamim FonsecaDuarte Coelho","2020","http://link.springer.com/chapter/10.1007/978-3-030-14347-3_34","Chapter"
"Genome Assembly Using Reinforcement Learning","Advances in Bioinformatics and Computational Biology","","","","10.1007/978-3-030-46417-2_2","Roberto XavierKleber Padovani de SouzaAnnie ChateauRonnie Alves","2020","http://link.springer.com/chapter/10.1007/978-3-030-46417-2_2","Chapter"
"Reinforcement Learning for Inventory Management","Proceedings of International Conference on Intelligent Manufacturing and Automation","","","","10.1007/978-981-15-4485-9_33","Siddharth SingiSiddharth GopalShashikant AutiRohit Chaurasia","2020","http://link.springer.com/chapter/10.1007/978-981-15-4485-9_33","Chapter"
"Trajectory Optimization for the Handling of Elastically Coupled Objects via Reinforcement Learning and Flatness-Based Control","Annals of Scientific Society for Assembly, Handling and Industrial Robotics","","","","10.1007/978-3-662-61755-7_29","Daniel KaczorMartin BenschMoritz SchapplerTobias Ortmaier","2020","http://link.springer.com/chapter/10.1007/978-3-662-61755-7_29","Chapter"
"Controller Optimization for Multirate Systems Based on Reinforcement Learning","International Journal of Automation and Computing","","17","3","10.1007/s11633-020-1229-0","Zhan LiSheng-Ri XueXing-Hu YuHui-Jun Gao","2020","http://link.springer.com/article/10.1007/s11633-020-1229-0","Article"
"Reinforcement Learning Concepts Ministering Smart City Applications Using IoT","Internet of Things in Smart Technologies for Sustainable Urban Development","","","","10.1007/978-3-030-34328-6_2","R. DhayaR. KanthavelFahad AlgarniP. JayarajanAmita Mahor","2020","http://link.springer.com/chapter/10.1007/978-3-030-34328-6_2","Chapter"
"Application of Reinforcement Learning in the Design of Microwave Circuit Matching Structure","Proceedings of the Seventh Asia International Symposium on Mechatronics","","","","10.1007/978-981-32-9441-7_17","Pengfei YuFei Ji","2020","http://link.springer.com/chapter/10.1007/978-981-32-9441-7_17","Chapter"
"Missile-Target Situation Assessment Model Based on Reinforcement Learning","Journal of Shanghai Jiaotong University (Science)","","25","5","10.1007/s12204-020-2226-8","Yun Zhang 张贇Runyan Lü 吕润妍Yunze Cai 蔡云泽","2020","http://link.springer.com/article/10.1007/s12204-020-2226-8","Article"
"Deep Reinforcement Learning","","","","","10.1007/978-981-15-4095-0","Prof. Hao DongZihan DingDr. Shanghang Zhang","2020","http://link.springer.com/book/10.1007/978-981-15-4095-0","Book"
"Robotic Curved Surface Tracking with a Neural Network for Angle Identification and Constant Force Control based on Reinforcement Learning","International Journal of Precision Engineering and Manufacturing","","21","5","10.1007/s12541-020-00315-x","Tie ZhangMeng XiaoYan-biao ZouJia-dong XiaoShou-yan Chen","2020","http://link.springer.com/article/10.1007/s12541-020-00315-x","Article"
"Organization Internet of Things (IoTs): Supervised, Unsupervised, and Reinforcement Learning","Business Intelligence for Enterprise Internet of Things","","","","10.1007/978-3-030-44407-5_2","A. HaldoraiA. RamuM. Suriya","2020","http://link.springer.com/chapter/10.1007/978-3-030-44407-5_2","Chapter"
"Reinforcement Learning for Inventory Management","Innovative Product Design and Intelligent Manufacturing Systems","","","","10.1007/978-981-15-2696-1_85","Shraddha BhartiDony S. KurianV. Madhusudanan Pillai","2020","http://link.springer.com/chapter/10.1007/978-981-15-2696-1_85","Chapter"
"Robotic constant-force grinding control with a press-and-release model and model-based reinforcement learning","The International Journal of Advanced Manufacturing Technology","","106","1 - 2","10.1007/s00170-019-04614-0","Tie ZhangMeng XiaoYanbiao ZouJiadong Xiao","2020","http://link.springer.com/article/10.1007/s00170-019-04614-0","Article"
"A Dynamic Pricing Mechanism in IoT for DaaS: A Reinforcement Learning Approach","Advances in Natural Computation, Fuzzy Systems and Knowledge Discovery","","","","10.1007/978-3-030-32591-6_65","Binpeng SongJinze SongJian Ye","2020","http://link.springer.com/chapter/10.1007/978-3-030-32591-6_65","Chapter"
"The Concept of Constructing an Artificial Dispatcher Intelligent System Based on Deep Reinforcement Learning for the Automatic Control System of Electric Networks","Journal of Computer and Systems Sciences International","","59","6","10.1134/S1064230720050111","N. V. Tomin","2020","http://link.springer.com/article/10.1134/S1064230720050111","Article"
