"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Tensegrity Robot Locomotion Under Limited Sensory Inputs via Deep Reinforcement Learning","J. Luo; R. Edmunds; F. Rice; A. M. Agogino","Department of Mechanical Engineering, University of California, Berkeley, CA, Berkeley; Department of EECS, University of California, Berkeley, CA; Department of EECS, University of California, Berkeley, CA; Department of Mechanical Engineering, University of California, Berkeley, CA, Berkeley","2018 IEEE International Conference on Robotics and Automation (ICRA)","13 Sep 2018","2018","","","6260","6267","Tensegrity robots are composed of rigid rods connected by elastic cables, and their unique light-weight yet compliant structure makes them an appealing choice for space exploration. However, locomotion control for these robotic systems remains difficult due to their nonlinear dynamics and high-dimensional state space. We demonstrate that in the domain of tensegrity robotics, it is possible to efficiently learn end-to-end locomotion policies using mirror descent guided policy search (MDGPS) even with limited sensory inputs. We compare learned neural network policies with other locomotion control policies in various testing environments; and results show that neural network policies consistently outperform others. We also shed light to the policy learning process by analyzing different choices of observation inputs to the robot. Moreover these findings motivate exploration of deep reinforcement learning algorithms in the domain of tensegrity robotics. We show preliminary results with one such locomotion example on discontinuous rough terrains.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8463144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8463144","","Robot sensing systems;Neural networks;Aerospace electronics;Hardware;NASA;Training","learning systems;mobile robots;motion control;neurocontrollers;nonlinear dynamical systems;search problems;state-space methods","nonlinear dynamics;high-dimensional state space;robotic systems;space exploration;tensegrity robot locomotion;deep reinforcement learning algorithms;policy learning process;locomotion control policies;neural network policies;mirror descent guided policy search;end-to-end locomotion policies;tensegrity robotics","","16","","32","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Model-based and model-free reinforcement learning for visual servoing","A. m. Farahmand; A. Shademan; M. Jagersand; C. Szepesvari","Department of Computing Science, University of Alberta, Canada; Department of Computing Science, University of Alberta, Canada; Department of Computing Science, University of Alberta, Canada; Department of Computing Science, University of Alberta, Canada","2009 IEEE International Conference on Robotics and Automation","6 Jul 2009","2009","","","2917","2924","To address the difficulty of designing a controller for complex visual-servoing tasks, two learning-based uncalibrated approaches are introduced. The first method starts by building an estimated model for the visual-motor forward kinematic of the vision-robot system by a locally linear regression method. Afterwards, it uses a reinforcement learning method named Regularized Fitted Q-Iteration to find a controller (i.e. policy) for the system (model-based RL). The second method directly uses samples coming from the robot without building any intermediate model (model-free RL). The simulation results show that both methods perform comparably well despite not having any a priori knowledge about the robot.","1050-4729","978-1-4244-2788-8","10.1109/ROBOT.2009.5152834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5152834","","Learning;Visual servoing;Robot vision systems;Jacobian matrices;Cameras;Control systems;Kinematics;Linear regression;Calibration;Manipulators","control system synthesis;intelligent robots;iterative methods;learning (artificial intelligence);regression analysis;robot kinematics;robot vision;visual servoing","model-free reinforcement learning;visual servoing;vision-robot system;linear regression method;regularized fitted Q-iteration;visual-motor forward kinematic;controller design","","16","","31","IEEE","6 Jul 2009","","","IEEE","IEEE Conferences"
"Autonomous Overtaking in Gran Turismo Sport Using Curriculum Reinforcement Learning","Y. Song; H. Lin; E. Kaufmann; P. Dürr; D. Scaramuzza","Dep. of Informatics, Robotics and Perception Group, University of Zurich; Sony AI Zurich; Dep. of Informatics, Robotics and Perception Group, University of Zurich; Sony AI Zurich; Dep. of Informatics, Robotics and Perception Group, University of Zurich","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","9403","9409","Professional race-car drivers can execute extreme overtaking maneuvers. However, existing algorithms for autonomous overtaking either rely on simplified assumptions about the vehicle dynamics or try to solve expensive trajectory-optimization problems online. When the vehicle approaches its physical limits, existing model-based controllers struggle to handle highly nonlinear dynamics, and cannot leverage the large volume of data generated by simulation or real-world driving. To circumvent these limitations, we propose a new learning-based method to tackle the autonomous overtaking problem. We evaluate our approach in the popular car racing game Gran Turismo Sport, which is known for its detailed modeling of various cars and tracks. By leveraging curriculum learning, our approach leads to faster convergence as well as increased performance compared to vanilla reinforcement learning. As a result, the trained controller outperforms the built-in model-based game AI and achieves comparable over-taking performance with an experienced human driver.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561049","","Solid modeling;Reinforcement learning;Games;Data models;Automobiles;Vehicle dynamics;Task analysis","automobiles;computer games;drives;learning (artificial intelligence);optimisation;road vehicles;sport;vehicle dynamics","model-based game AI;curriculum reinforcement learning;professional race-car drivers;extreme overtaking maneuvers;simplified assumptions;vehicle dynamics;expensive trajectory-optimization problems;model-based controllers struggle;highly nonlinear dynamics;learning-based method;autonomous overtaking problem;popular car racing game Gran Turismo Sport;cars;leveraging curriculum learning;vanilla reinforcement learning","","16","","27","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"A reinforcement-learning approach to reactive control policy design for autonomous robots","A. H. Fagg; D. Lotspeich; G. A. Bekey","Center for Neural Engineering, University of Southern California, Los Angeles, CA, USA; Center for Neural Engineering, University of Southern California, Los Angeles, CA, USA; Center for Neural Engineering, University of Southern California, Los Angeles, CA, USA","Proceedings of the 1994 IEEE International Conference on Robotics and Automation","6 Aug 2002","1994","","","39","44 vol.1","Within the field of robotics, much recent attention has been given to control techniques that have been termed reactive or behavior-based. The design of such control systems for even a remotely interesting task is typically a laborious effort, requiring many hours of experimental ""tweaking"" as the actual behavior of the system is observed by the system designer. In this paper, the authors present a neural-based reinforcement learning approach to the design of reactive control policies in which the designer specifies the the desired behavior of the system, rather than the control program that produces the desired behavior.<>","","0-8186-5330-2","10.1109/ROBOT.1994.351013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=351013","","Control systems;Intelligent robots;Robot sensing systems;Service robots;Robot control;Intelligent systems;Computational and artificial intelligence;Optimal control;Application specific integrated circuits;Data mining","unsupervised learning;intelligent control;neural net architecture","reactive control policy design;autonomous robots;neural-based reinforcement learning","","16","","23","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"ReLMoGen: Integrating Motion Generation in Reinforcement Learning for Mobile Manipulation","F. Xia; C. Li; R. Martín-Martín; O. Litany; A. Toshev; S. Savarese",Stanford University; Stanford University; Stanford University; Nvidia; Robotics at Google; Stanford University,"2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","4583","4590","Many Reinforcement Learning (RL) approaches use joint control signals (positions, velocities, torques) as action space for continuous control tasks. We propose to lift the action space to a higher level in the form of subgoals for a motion generator (a combination of motion planner and trajectory executor). We argue that, by lifting the action space and by leveraging sampling-based motion planners, we can efficiently use RL to solve complex, long-horizon tasks that could not be solved with existing RL methods in the original action space. We propose ReLMoGen – a framework that combines a learned policy to predict subgoals and a motion generator to plan and execute the motion needed to reach these subgoals. To validate our method, we apply ReLMoGen to two types of tasks: 1) Interactive Navigation tasks, navigation problems where interactions with the environment are required to reach the destination, and 2) Mobile Manipulation tasks, manipulation tasks that require moving the robot base. These problems are challenging because they are usually long-horizon, hard to explore during training, and comprise alternating phases of navigation and interaction. Our method is benchmarked on a diverse set of seven robotics tasks in photo-realistic simulation environments. In all settings, ReLMoGen outperforms state-of-the-art RL and Hierarchical RL baselines. ReLMoGen also shows outstanding transferability between different motion generators at test time, indicating a great potential to transfer to real robots. For more information, please visit project website: http://svl.stanford.edu/projects/relmogen.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561315","","Training;Navigation;Conferences;Reinforcement learning;Aerospace electronics;Benchmark testing;Generators","manipulators;mobile robots;motion control;path planning;position control;reinforcement learning","motion generation;reinforcement learning;mobile manipulation;joint control signals;continuous control tasks;motion generator;sampling-based motion planners;RL methods;original action space;learned policy;navigation problems;manipulation tasks;robotics tasks;motion generators;hierarchical RL baselines;ReLMoGen","","16","","50","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Alextrac: Affinity learning by exploring temporal reinforcement within association chains","A. Bewley; L. Ott; F. Ramos; B. Upcroft","Queensland University of Technology (QUT); School of Information Technologies, The University of Sydney, Australia; School of Information Technologies, The University of Sydney, Australia; Queensland University of Technology (QUT)","2016 IEEE International Conference on Robotics and Automation (ICRA)","9 Jun 2016","2016","","","2212","2218","This paper presents a self-supervised approach for learning to associate object detections in a video sequence as often required in tracking-by-detection systems. In this paper we focus on learning an affinity model to estimate the data association cost, which can adapt to different situations by exploiting the sequential nature of video data. We also propose a framework for gathering additional training samples at test time with high variation in visual appearance, naturally inherent in large temporal windows. Reinforcing the model with these difficult samples greatly improves the affinity model compared to standard similarity measures such as cosine similarity. We experimentally demonstrate the efficacy of the resulting affinity model on several multiple object tracking (MOT) benchmark sequences. Using the affinity model alone places this approach in the top 25 state-of-the-art trackers with an average rank of 21.3 across 11 test sequences and an overall multiple object tracking accuracy (MOTA) of 17%. This is considerable as our simple approach only uses the appearance of the detected regions in contrast to other techniques with global optimisation or complex motion models.","","978-1-4673-8026-3","10.1109/ICRA.2016.7487371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7487371","","Visualization;Tracking;Feature extraction;Training;Adaptation models;Data models;Image color analysis","image sequences;learning (artificial intelligence);object detection;object tracking;video signal processing","ALExTRAC;affinity learning;temporal reinforcement;association chains;self-supervised approach;object detections;video sequence;tracking-by-detection systems;affinity model;data association cost estimation;video data sequence;visual appearance;temporal windows;similarity measures;cosine similarity;MOT benchmark;multiple object tracking accuracy;MOTA","","16","","28","IEEE","9 Jun 2016","","","IEEE","IEEE Conferences"
"Vision-Based Mobile Robotics Obstacle Avoidance With Deep Reinforcement Learning","P. Wenzel; T. Schön; L. Leal-Taixé; D. Cremers","Technical University of Munich, Germany; Technische Hochschule Ingolstadt, Ingolstadt, Germany; Technical University of Munich, Germany; Technical University of Munich, Germany","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","14360","14366","Obstacle avoidance is a fundamental and challenging problem for autonomous navigation of mobile robots. In this paper, we consider the problem of obstacle avoidance in simple 3D environments where the robot has to solely rely on a single monocular camera. In particular, we are interested in solving this problem without relying on localization, mapping, or planning techniques. Most of the existing work consider obstacle avoidance as two separate problems, namely obstacle detection, and control. Inspired by the recent advantages of deep reinforcement learning in Atari games and understanding highly complex situations in Go, we tackle the obstacle avoidance problem as a data-driven end-to-end deep learning approach. Our approach takes raw images as input and generates control commands as output. We show that discrete action spaces are outperforming continuous control commands in terms of expected average reward in maze-like environments. Furthermore, we show how to accelerate the learning and increase the robustness of the policy by incorporating predicted depth maps by a generative adversarial network.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560787","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560787","","Training;Navigation;Robot vision systems;Reinforcement learning;Gray-scale;Aerospace electronics;Cameras","collision avoidance;learning (artificial intelligence);mobile robots;robot vision","vision-based mobile robotics obstacle avoidance;deep reinforcement learning;fundamental problem;mobile robots;simple 3D environments;separate problems;obstacle detection;understanding highly complex situations;obstacle avoidance problem;data-driven end-to-end deep learning approach","","16","","27","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Reset-free guided policy search: Efficient deep reinforcement learning with stochastic initial states","W. Montgomery; A. Ajay; C. Finn; P. Abbeel; S. Levine","Department of Computer Science and Engineering, University of Washington, Seattle, WA; Department of Electrical Engineering and Computer Sciences, University of California Berkeley, Berkeley, CA; Department of Electrical Engineering and Computer Sciences, University of California Berkeley, Berkeley, CA; Department of Electrical Engineering and Computer Sciences, University of California Berkeley, Berkeley, CA; Department of Electrical Engineering and Computer Sciences, University of California Berkeley, Berkeley, CA","2017 IEEE International Conference on Robotics and Automation (ICRA)","24 Jul 2017","2017","","","3373","3380","Autonomous learning of robotic skills can allow general-purpose robots to learn wide behavioral repertoires without extensive manual engineering. However, robotic skill learning must typically make trade-offs to enable practical real-world learning, such as requiring manually designed policy or value function representations, initialization from human demonstrations, instrumentation of the training environment, or extremely long training times. We propose a new reinforcement learning algorithm that can train general-purpose neural network policies with minimal human engineering, while still allowing for fast, efficient learning in stochastic environments. We build on the guided policy search (GPS) algorithm, which transforms the reinforcement learning problem into supervised learning from a computational teacher (without human demonstrations). In contrast to prior GPS methods, which require a consistent set of initial states to which the system must be reset after each episode, our approach can handle random initial states, allowing it to be used even when deterministic resets are impossible. We compare our method to existing policy search algorithms in simulation, showing that it can train high-dimensional neural network policies with the same sample efficiency as prior GPS methods, and can learn policies directly from image pixels. We also present real-world robot results that show that our method can learn manipulation policies with visual features and random initial states.","","978-1-5090-4633-1","10.1109/ICRA.2017.7989383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7989383","","Robots;Global Positioning System;Neural networks;Learning (artificial intelligence);Supervised learning;Training;Optimization","learning (artificial intelligence);neurocontrollers;robots","reset-free guided policy search;deep reinforcement learning;stochastic initial states;autonomous learning;robotic skill learning;general-purpose neural network policies;GPS algorithm;high-dimensional neural network policies;image pixels","","15","","23","IEEE","24 Jul 2017","","","IEEE","IEEE Conferences"
"NavRep: Unsupervised Representations for Reinforcement Learning of Robot Navigation in Dynamic Human Environments","D. Dugas; J. Nieto; R. Siegwart; J. J. Chung","Autonomous Systems Lab, ETH Zurich, Zurich, Switzerland; Autonomous Systems Lab, ETH Zurich, Zurich, Switzerland; Autonomous Systems Lab, ETH Zurich, Zurich, Switzerland; Autonomous Systems Lab, ETH Zurich, Zurich, Switzerland","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","7829","7835","Robot navigation is a task where reinforcement learning approaches are still unable to compete with traditional path planning. State-of-the-art methods differ in small ways, and do not all provide reproducible, openly available implementations. This makes comparing methods a challenge. Recent research has shown that unsupervised learning methods can scale impressively, and be leveraged to solve difficult problems. In this work, we design ways in which unsupervised learning can be used to assist reinforcement learning for robot navigation. We train two end-to-end, and 18 unsupervised-learning-based architectures, and compare them, along with existing approaches, in unseen test cases. We demonstrate our approach working on a real life robot. Our results show that unsupervised learning methods are competitive with end-to-end methods. We also highlight the importance of various components such as input representation, predictive unsupervised learning, and latent features. We make all our models publicly available, as well as training and testing environments, and tools 1. This release also includes OpenAI-gym-compatible environments designed to emulate the training conditions described by other papers, with as much fidelity as possible. Our hope is that this helps in bringing together the field of RL for robot navigation, and allows meaningful comparisons across state-of-the-art methods.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560951","","Training;Navigation;Computational modeling;Reinforcement learning;Tools;Robot sensing systems;Safety","control engineering computing;mobile robots;navigation;path planning;reinforcement learning;unsupervised learning","robot navigation;unsupervised-learning-based architectures;life robot;end-to-end methods;predictive unsupervised learning;unsupervised representations;dynamic human environments;reinforcement learning;path planning;NavRep;latent features;OpenAI-gym-compatible environments","","15","","20","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Reinforcement learning for balancing a flying inverted pendulum","R. Figueroa; A. Faust; P. Cruz; L. Tapia; R. Fierro","Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, United States; Department of Computer Science, University of New Mexico, Albuquerque, NM, United States; Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, United States; Department of Computer Science, University of New Mexico, Albuquerque, NM, United States; Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, United States","Proceeding of the 11th World Congress on Intelligent Control and Automation","5 Mar 2015","2014","","","1787","1793","The problem of balancing an inverted pendulum on an unmanned aerial vehicle (UAV) has been achieved using linear and nonlinear control approaches. However, to the best of our knowledge, this problem has not been solved using learning methods. On the other hand, the classical inverted pendulum is a common benchmark problem to evaluate learning techniques. In this paper we demonstrate a novel solution to the inverted pendulum problem extended to UAVs, specifically quadrotors. This complex system is underactuated and sensitive to small acceleration changes of the quadrotor. The solution is provided by reinforcement learning (RL), a platform commonly applied to solve nonlinear control problems. We generate a control policy to balance the pendulum using Continuous Action Fitted Value Iteration (CAFVI) [1] which is a RL algorithm for high-dimensional input-spaces. This technique combines learning of both state and state-action value functions in an approximate value iteration setting with continuous inputs. Simulations verify the performance of the generated control policy for varying initial conditions. The results show the control policy is computationally fast enough to be appropriate of real-time control.","","978-1-4799-5825-2","10.1109/WCICA.2014.7052991","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7052991","Aerial robotics;quadrotor control;inverted pendulum;approximate value iteration;reinforcement learning","Vectors;Control systems;Noise;Learning (artificial intelligence);Mathematical model;Acceleration;Aerospace electronics","aircraft control;approximation theory;autonomous aerial vehicles;helicopters;iterative methods;learning (artificial intelligence);nonlinear control systems;pendulums","reinforcement learning;flying inverted pendulum balancing;unmanned aerial vehicle;UAV;benchmark problem;quadrotor;underactuated complex system;acceleration changes sensitive system;control policy;continuous action fitted value iteration;CAFVI;RL algorithm;high-dimensional input-spaces;state-action value function learning;approximate value iteration;continuous inputs;varying initial conditions;real-time control","","15","","14","IEEE","5 Mar 2015","","","IEEE","IEEE Conferences"
