"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Motion simulation of robot arm using reinforcement learning","Takahito Oshiro; Kajiro Watanabe","Hosei University, Koganei, Tokyo, Japan; Hosei University, Koganei, Tokyo, Japan","SICE Annual Conference 2007","7 Jan 2008","2007","","","1077","1080","This paper describes the learning of robot arm action by reinforcement learning. We used Q-learning, which is a typical method of reinforcement learning, and which was programmed via MATLAB software. Simulations demonstrated the shortest path of robot arm motion to reach the target location.","","978-4-907764-27-2","10.1109/SICE.2007.4421144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4421144","simulation;reinforcement learning;robot arm;Q-learning","Learning;Service robots;Robot kinematics;Medical robotics;Manufacturing industries;Medical simulation;Computer errors;Error correction;MATLAB;Application software","control engineering computing;learning (artificial intelligence);manipulators","motion simulation;robot arm;reinforcement learning;Q-learning;MATLAB software","","","","2","","7 Jan 2008","","","IEEE","IEEE Conferences"
"Proactive Action Visual Residual Reinforcement Learning for Contact-Rich Tasks Using a Torque-Controlled Robot","Y. Shi; Z. Chen; H. Liu; S. Riedel; C. Gao; Q. Feng; J. Deng; J. Zhang","Department of Informatics, TAMS (Technical Aspects of Multimodal Systems), Universität Hamburg; Agile Robots AG; Technische Universität München; Agile Robots AG; Agile Robots AG; Technische Universität München; Agile Robots AG; Department of Informatics, TAMS (Technical Aspects of Multimodal Systems), Universität Hamburg","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","765","771","Contact-rich manipulation tasks are commonly found in modern manufacturing settings. However, manually designing a robot controller is considered hard for traditional control methods as the controller requires an effective combination of modalities and vastly different characteristics. In this paper, we first consider incorporating operational space visual and haptic information into a reinforcement learning (RL) method to solve the target uncertainty problems in unstructured environments. Moreover, we propose a novel idea of introducing a proactive action to solve a partially observable Markov decision process (POMDP) problem. With these two ideas, our method can either adapt to reasonable variations in unstructured environments or improve the sample efficiency of policy learning. We evaluated our method on a task that involved inserting a random-access memory (RAM) using a torque-controlled robot and tested the success rates of different baselines used in the traditional methods. We proved that our method is robust and can tolerate environmental variations.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561162","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561162","","Visualization;Uncertainty;Conferences;Random access memory;Reinforcement learning;Markov processes;Manufacturing","industrial manipulators;Markov processes;reinforcement learning;robotic assembly;torque control","proactive action visual residual reinforcement learning;torque-controlled robot;contact-rich manipulation;robot controller design;haptic information;target uncertainty problems;partially observable Markov decision process problem;policy learning;random access memory;industrial robots;assembly tasks","","3","","35","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Reinforcement learning combined with radial basis function neural network to solve Job-Shop scheduling problem","R. S. Williem; K. Setiawan","Faculty of Business Universitas Pelita Harapan Surabaya, Waru - Surabaya, Indonesia; Faculty of Computer Science Hill University Ormskirk, Lancashire, UK. Universitas Pelita Harapan Surabaya, Waru-Surabaya, Indonesia","2011 IEEE International Summer Conference of Asia Pacific Business Innovation and Technology Management","22 Aug 2011","2011","","","29","32","To complete jobs/tasks within their designated time periods, manufacturing companies utilize multiple machines. Job-shop scheduling is a critical element in job/task completion. This schedule consists of a sequence of doing consecutive jobs in a minimum amount of time. In addition, any conflict between the raw materials used in each job and its resource pool are to be avoided. This research applied the Reinforcement Learning (RL) method which is implemented in Temporal Difference Learning (TDL). Furthermore, the TDL focused on the Gradient-Descent method in which the Radial Basis Function Neural Network served as the approximation function. The input of this research was an initial critical path with no conflict-free schedule. Using the above methods, the conflict(s) could be eliminated gradually. Thus, the flexible job-shop scheduling can readily be made by any manufacturing company. Language used for this research is the Borland Delphi 7.0. All object structure and methods are made as easy as possible so that it can be implemented on the same problem with different application.","","978-1-4244-9655-6","10.1109/APBITM.2011.5996285","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5996285","machine;industry;job-shop scheduling;reinforcement learning;radial basis function neural network","Schedules;Learning;Indexes;Resource description framework;Job shop scheduling;Resource management;Processor scheduling","approximation theory;gradient methods;job shop scheduling;learning (artificial intelligence);radial basis function networks;raw materials","reinforcement learning;radial basis function neural network;Job-Shop Scheduling Problem;manufacturing companies;multiple machines;raw materials;gradient-descent method;approximation function;conflict-free schedule;Borland Delphi 7.0","","4","","8","IEEE","22 Aug 2011","","","IEEE","IEEE Conferences"
"Online Hybrid Learning to Speed Up Deep Reinforcement Learning Method for Commercial Aircraft Control","M. Xin; Y. Gao; T. Mou; J. Ye","Dept. Automation, Shanghai Jiao Tong University, Shanghai, China; Dept. of Automation Shanghai Jiao Tong University, MoE Key Lab of Artificial Intelligence, Shanghai, China; Dept. Automation, Shanghai Jiao Tong University, Shanghai, China; Dept. Automation, Shanghai Jiao Tong University, Shanghai, China","2019 3rd International Symposium on Autonomous Systems (ISAS)","11 Jul 2019","2019","","","305","310","We propose an online hybrid learning algorithm that enables deep reinforcement learning agents to learn in environments where the cost of exploration is expensive. Our algorithm adopts ideas from imitation learning and Deep Deterministic Policy Gradient (DDPG). It utilizes an existing baseline controller to speed up the process of learning as well as lower the exploration cost. Our algorithm is validated on classic pendulum swing-up problem and shows faster convergence speed and lower exploration cost. Furthermore, the algorithm can also be applied in learning a controller for commercial aircraft cruising. While DDPG fails to learn a decent policy, our hybrid learning algorithm is able to learn quickly in an online manner with low cost. Our experiments show that the learned policy network is more robust than the baseline PID controller.","","978-1-7281-1298-5","10.1109/ISASS.2019.8757756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8757756","Hybrid Learning;Deep Reinforcement Learning;Commercial Aircraft Control","Training;Aerospace control;Aircraft;Reinforcement learning;Process control;Neural networks;Automation","aircraft control;gradient methods;learning (artificial intelligence);learning systems;pendulums;three-term control","DDPG;deep reinforcement;commercial aircraft control;online hybrid learning algorithm;imitation learning;deep deterministic policy gradient;PID controller;pendulum swing-up problem","","2","","22","IEEE","11 Jul 2019","","","IEEE","IEEE Conferences"
"Curiosity-Driven Exploration for Off-Policy Reinforcement Learning Methods","B. Li; T. Lu; J. Li; N. Lu; Y. Cai; S. Wang","Research Center on Intelligent Robotic Systems, Institute of Automation, Chinese Academy of Sciences; Research Center on Intelligent Robotic Systems, Institute of Automation, Chinese Academy of Sciences; Research Center on Intelligent Robotic Systems, Institute of Automation, Chinese Academy of Sciences; Research Center on Intelligent Robotic Systems, Institute of Automation, Chinese Academy of Sciences; Research Center on Intelligent Robotic Systems, Institute of Automation, Chinese Academy of Sciences; Research Center on Intelligent Robotic Systems, Institute of Automation, Chinese Academy of Sciences","2019 IEEE International Conference on Robotics and Biomimetics (ROBIO)","20 Jan 2020","2019","","","1109","1114","Deep reinforcement learning (DRL) has achieved remarkable results in many high-dimensional continuous control tasks. However, the RL agent still explores the environment randomly, resulting in low exploration efficiency and learning performance, especially in robotic manipulation tasks with sparse rewards. To address this problem, in this paper, we intro-duce a simplified Intrinsic Curiosity Module (S-ICM) into the off-policy RL methods to encourage the agent to pursue novel and surprising states for improving the exploration competence. This method can be combined with an arbitrary off-policy RL algorithm. We evaluate our approach on three challenging robotic manipulation tasks provided by OpenAI Gym. In our experiments, we combined our method with Deep Deterministic Policy Gradient (DDPG) with and without Hindsight Experience Replay (HER). The empirical results show that our proposed method significantly outperforms vanilla RL algorithms both in sample-efficiency and learning performance.","","978-1-7281-6321-5","10.1109/ROBIO49542.2019.8961529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8961529","Intrinsic Curiosity Module;Deep Deterministic Policy Gradient;Robotic Manipulation Tasks","Conferences;Biomimetics;Biological system modeling;Reinforcement learning;Task analysis;Robots","learning (artificial intelligence);manipulators","deep deterministic policy gradient;vanilla RL;sample-efficiency;learning performance;curiosity-driven exploration;DRL;high-dimensional continuous control tasks;RL agent;sparse rewards;exploration competence;off-policy RL algorithm;robotic manipulation tasks;simplified intrinsic curiosity module;off-Policy reinforcement learning methods;off-policy reinforcement learning methods","","6","","22","IEEE","20 Jan 2020","","","IEEE","IEEE Conferences"
"Attention Enhanced Reinforcement Learning for Multi agent Cooperation","Z. Pu; H. Wang; Z. Liu; J. Yi; S. Wu","Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing 100049, China, and also with the Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China; Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.; Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.; Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.","IEEE Transactions on Neural Networks and Learning Systems","","2022","PP","99","1","15","In this article, a novel method, called attention enhanced reinforcement learning (AERL), is proposed to address issues including complex interaction, limited communication range, and time-varying communication topology for multi agent cooperation. AERL includes a communication enhanced network (CEN), a graph spatiotemporal long short-term memory network (GST-LSTM), and parameters sharing multi-pseudo critic proximal policy optimization (PS-MPC-PPO). Specifically, CEN based on graph attention mechanism is designed to enlarge the agents' communication range and to deal with complex interaction among the agents. GST-LSTM, which replaces the standard fully connected (FC) operator in LSTM with graph attention operator, is designed to capture the temporal dependence while maintaining the spatial structure learned by CEN. PS-MPC-PPO, which extends proximal policy optimization (PPO) in multi agent systems with parameters' sharing to scale to environments with a large number of agents in training, is designed with multi-pseudo critics to mitigate the bias problem in training and accelerate the convergence process. Simulation results for three groups of representative scenarios including formation control, group containment, and predator-prey games demonstrate the effectiveness and robustness of AERL.","2162-2388","","10.1109/TNNLS.2022.3146858","National Key Research and Development Program of China(grant numbers:2018AAA0102404); National Natural Science Foundation of China(grant numbers:62073323,61806199); Strategic Priority Research Program of Chinese Academy of Sciences(grant numbers:XDA27030403); External Cooperation Key Project of Chinese Academy Sciences(grant numbers:173211KYSB20200002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9716772","Attention mechanism;deep reinforcement learning (DRL);graph convolutional networks;multi agent systems.","Training;Reinforcement learning;Games;Scalability;Task analysis;Standards;Optimization","","","","4","","","IEEE","18 Feb 2022","","","IEEE","IEEE Early Access Articles"
"Evolutionary Deep Reinforcement Learning for Volt-VAR Control in Distribution Network","R. Si; T. Gao; Y. Dai; Y. Bai; Y. Jiang; J. Zhang","School of Electrical Engineering and Automation, Wuhan University; School of Electrical Engineering and Automation, Wuhan University; School of Electrical Engineering and Automation, Wuhan University; School of Electrical Engineering and Automation, Wuhan University; School of Electrical Engineering and Automation, Wuhan University; School of Electrical Engineering and Automation, Wuhan University","2022 IEEE 2nd International Conference on Digital Twins and Parallel Intelligence (DTPI)","3 Jan 2023","2022","","","1","6","As an important form of renewable energy integrated to the power system, distribution network is being challenged by voltage violation and network loss increase. Currently, model-based Vol-Var control (VVC) methods are widely used to reduce voltage violation and network loss. However, model-based methods need accurate parameters of distribution network. In practice, accurate model is difficult to obtain. In this paper, we propose a model-free evolutionary deep reinforcement learning (E-DRL) algorithm to solve the VVC problem. Based on E-DRL, the agent evolves autonomously by continuously interacting with the environment learning control strategy. Inverter-based PVs and SVGs are used to provide fast and continuous control. VVC problem is solved by soft actor-critic algorithm, which uses the maximum entropy technique to balance the exploration and exploitation. Numerical simulations on IEEE 13-bus system demonstrate that the proposed method has satisfied performance.","","978-1-6654-9227-0","10.1109/DTPI55838.2022.9998947","National Key R&D Program of China(grant numbers:2021ZD0112700); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9998947","Volt-Var control;reinforcement learning;soft actorcritic;PV inverters;reactive power","Deep learning;Renewable energy sources;Reactive power;Distribution networks;Reinforcement learning;Numerical simulation;Entropy","control engineering computing;deep learning (artificial intelligence);evolutionary computation;power distribution control;power engineering computing;reinforcement learning;voltage control","continuous control;control strategy;distribution network;E-DRL;environment learning control;IEEE 13-bus system;model-free evolutionary deep reinforcement learning;network loss;soft actor-critic algorithm;volt-VAR control;voltage violation;VVC problem","","","","17","IEEE","3 Jan 2023","","","IEEE","IEEE Conferences"
"Design and implementation of power grid operation environment simulation system based on Reinforcement Learning","Y. Ling; W. Jiaqi; Y. Nan; X. Wenyue; L. Dapeng; F. Qiong","Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology(China Electric Power Research Institute), Beijing, China; Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology(China Electric Power Research Institute), Beijing, China; Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology(China Electric Power Research Institute), Beijing, China; Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology(China Electric Power Research Institute), Beijing, China; Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology(China Electric Power Research Institute), Beijing, China; Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology(China Electric Power Research Institute), Beijing, China","2021 IEEE 2nd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)","3 Feb 2022","2021","2","","935","939","With the rapid and profound changes in all aspects of power system, the control scale increases exponentially, the characteristics of control objects vary greatly, the bilateral uncertainty of source load increases, and the power grid real-time dispatching will be more complex and frequent. In this paper, we combine current advanced artificial intelligence technology and power grid dispatching business needs, design and develop power grid operation environment simulation system based on reinforcement learning. The system determines the power grid scenario according to the user's choice, applies the real-time power grid operation data, directly interacts with the decision agent, realizes the agent's autonomous learning and continuously improves its regulation and decision-making ability. The system has good feasibility, practicability and scalability, realizes the standardization of workflow, and provides an effective decision support tool for power grid dispatching.","","978-1-6654-2877-4","10.1109/ICIBA52610.2021.9688106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9688106","artificial intelligence;reinforcement learning;power dispatching;aid decision making","Training;Uncertainty;Decision making;Reinforcement learning;Power grids;Real-time systems;Dispatching","decision making;decision support systems;power engineering computing;power grids;reinforcement learning","power grid operation environment simulation system;reinforcement learning;power grid real-time dispatching;power grid dispatching business needs;power grid scenario;real-time power grid operation data;decision support tool","","","","5","IEEE","3 Feb 2022","","","IEEE","IEEE Conferences"
"Evaluating Renewable Energy Policies Using a Multi-agent Reinforcement Learning Model","M. Suzuki; M. Ito; R. Takashima","Dept. of Industrial Administration, Tokyo University of Science, Chiba, Japan; Dept. of Industrial Administration, Tokyo University of Science, Chiba, Japan; Dept. of Industrial Administration, Tokyo University of Science, Chiba, Japan","2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","17 Jan 2019","2018","","","959","963","Even as governments combat greenhouse emissions through a range of initiatives, it has yet to be clarified how renewable energy policy, energy market structure, and number of energy producers impact social welfare. We model a deregulated market for electricity as a blind single-price call auction and construct a multi-agent system with reinforcement learning that facilitates more realistic market evaluations and observation of equilibrium processes. We validate our simulation by comparing its results with the results from theoretical analysis in a simplified market.","2577-1655","978-1-5386-6650-0","10.1109/SMC.2018.00170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616166","renewable energy;multi-agent simulation;reinforcement learning","Renewable energy sources;Portfolios;Standards;Analytical models;Production;Reinforcement learning;Electricity supply industry","learning (artificial intelligence);multi-agent systems;power engineering computing;power markets;pricing;renewable energy sources","renewable energy policy;energy market structure;energy producers;deregulated market;blind single-price call auction;multiagent system;realistic market evaluations;simplified market;multiagent reinforcement learning model;greenhouse emissions","","1","","5","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"Moving Object Flexible Grasping Based on Deep Reinforcement Learning","Z. Tu; C. Yang; X. Wu; Y. Zhu; W. Wu; N. Jia","State Key Laboratory of Fluid, Power and Mechatronic Systems, Zhejiang University, Hangzhou, China; State Key Laboratory of Fluid, Power and Mechatronic Systems, Zhejiang University, Hangzhou, China; State Key Laboratory of Fluid, Power and Mechatronic Systems, Zhejiang University, Hangzhou, China; State Key Laboratory of Fluid, Power and Mechatronic Systems, Zhejiang University, Hangzhou, China; State Key Laboratory of Fluid, Power and Mechatronic Systems, Zhejiang University, Hangzhou, China; Training Platform of Robots and Intelligent, Manufacturing from Polytechnic Institute, Zhejiang University, Hangzhou, China","2022 8th International Conference on Control, Automation and Robotics (ICCAR)","31 May 2022","2022","","","34","39","High manipulability can improve the movement ability of the robot end-effector in various degrees of freedom when it is engaged in autonomous grasping. In this paper, we propose a flexible grasping method based on deep reinforcement learning for moving objects. We use the deep deterministic policy gradient (DDPG) algorithm to train and control a six degrees of freedom manipulator, and introduce the manipulability index to optimize the grasping pose of the manipulator. A moving ball grasping mission was conducted using the Robot Operating System (ROS) and the Gazebo simulator to verify the effectiveness of the method. Compared with the DDPG algorithm without optimizing manipulability and the traditional tracking method, experimental results indicate that the proposed method maintains the high manipulability of the manipulator.","2251-2454","978-1-6654-8116-8","10.1109/ICCAR55106.2022.9782595","National Natural Science Foundation of China(grant numbers:52071292); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9782595","Moving object grasping;Deep reinforcement learning;Manipulability","Tracking;Operating systems;Grasping;Reinforcement learning;Manipulators;Approximation algorithms;End effectors","control engineering computing;deep learning (artificial intelligence);end effectors;operating systems (computers);path planning;reinforcement learning;robot programming","DDPG algorithm;high manipulability;manipulator;object flexible grasping;deep reinforcement learning;movement ability;robot end-effector;autonomous grasping;flexible grasping method;moving objects;deep deterministic policy gradient;manipulability index;moving ball grasping mission;Robot Operating System;Gazebo simulator","","2","","18","IEEE","31 May 2022","","","IEEE","IEEE Conferences"
