Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"KIcker: An Industrial Drive and Control Foosball System automated with Deep Reinforcement Learning","Journal of Intelligent & Robotic Systems","","102","1","10.1007/s10846-021-01389-z","Stefano De BlasiSebastian KlöserArne MüllerRobin ReubenFabian SturmTimo Zerrer","2021","http://link.springer.com/article/10.1007/s10846-021-01389-z","Article"
"Towards Intelligent Pick and Place Assembly of Individualized Products Using Reinforcement Learning","Human Systems Engineering and Design III","","","","10.1007/978-3-030-58282-1_51","Caterina NeefDario LuipersJan BollenbacherChristian GebelAnja Richert","2021","http://link.springer.com/chapter/10.1007/978-3-030-58282-1_51","Chapter"
"Handbook of Reinforcement Learning and Control","Studies in Systems, Decision and Control","","","","10.1007/978-3-030-60990-0","Dr. Kyriakos G. VamvoudakisProf. Yan WanDr. Frank L. LewisDerya Cansever","2021","http://link.springer.com/book/10.1007/978-3-030-60990-0","Book"
"Applying reinforcement learning to plan manufacturing material handling","Discover Artificial Intelligence","","1","1","10.1007/s44163-021-00003-3","Swetha GovindaiahMikel D. Petty","2021","http://link.springer.com/article/10.1007/s44163-021-00003-3","Article"
"Deep Reinforcement Learning for Dynamic Scheduling of Two-Stage Assembly Flowshop","Advances in Swarm Intelligence","","","","10.1007/978-3-030-78811-7_25","Xin LinJian Chen","2021","http://link.springer.com/chapter/10.1007/978-3-030-78811-7_25","Chapter"
"Research on Intelligent Cloud Manufacturing Resource Adaptation Methodology Based on Reinforcement Learning","Artificial Intelligence and Security","","","","10.1007/978-3-030-78609-0_14","Zixuan FangQiao HuHairong SunGenxin ChenJin Qi","2021","http://link.springer.com/chapter/10.1007/978-3-030-78609-0_14","Chapter"
"Autonomous assembly planning of demonstrated skills with reinforcement learning in simulation","Autonomous Robots","","45","8","10.1007/s10514-021-10020-x","Joris De WinterIlias EI MakriniGreet Van de PerreAnn NowéTom VerstratenBram Vanderborght","2021","http://link.springer.com/article/10.1007/s10514-021-10020-x","Article"
"Task-level decision-making for dynamic and stochastic human-robot collaboration based on dual agents deep reinforcement learning","The International Journal of Advanced Manufacturing Technology","","115","11 - 12","10.1007/s00170-021-07265-2","Zhihao LiuQuan LiuLihui WangWenjun XuZude Zhou","2021","http://link.springer.com/article/10.1007/s00170-021-07265-2","Article"
"A Deep Reinforcement Learning (DRL) Decision Model for Heating Process Parameters Identification in Automotive Glass Manufacturing","Artificial Intelligence and Industrial Applications","","","","10.1007/978-3-030-51186-9_6","Choumicha El MazgualdiTawfik MasrourIbtissam El HassaniAbdelmoula Khdoudi","2021","http://link.springer.com/chapter/10.1007/978-3-030-51186-9_6","Chapter"
"Modular production control using deep reinforcement learning: proximal policy optimization","Journal of Intelligent Manufacturing","","32","8","10.1007/s10845-021-01778-z","Sebastian MayerTobias ClassenChristian Endisch","2021","http://link.springer.com/article/10.1007/s10845-021-01778-z","Article"
"A full freedom pose measurement method for industrial robot based on reinforcement learning algorithm","Soft Computing","","25","20","10.1007/s00500-021-06190-6","Xinghua LuYunsheng ChenZiyue Yuan","2021","http://link.springer.com/article/10.1007/s00500-021-06190-6","Article"
"Designing an adaptive production control system using reinforcement learning","Journal of Intelligent Manufacturing","","32","3","10.1007/s10845-020-01612-y","Andreas KuhnleJan-Philipp KaiserFelix TheißNicole StrickerGisela Lanza","2021","http://link.springer.com/article/10.1007/s10845-020-01612-y","Article"
"Identification of Superior Improvement Trajectories for Production Lines via Simulation-Based Optimization with Reinforcement Learning","Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","","","","10.1007/978-3-030-85914-5_43","Günther SchuhAndreas GützlaffMatthias SchmidhuberJan MaetschkeMax BarkhausenNarendiran Sivanesan","2021","http://link.springer.com/chapter/10.1007/978-3-030-85914-5_43","Chapter"
"Sample-Efficiency, Stability and Generalization Analysis for Deep Reinforcement Learning on Robotic Peg-in-Hole Assembly","Intelligent Robotics and Applications","","","","10.1007/978-3-030-89098-8_38","Yuelin DengZhimin HouWenhao YangJing Xu","2021","http://link.springer.com/chapter/10.1007/978-3-030-89098-8_38","Chapter"
"Multi-D3QN: A Multi-strategy Deep Reinforcement Learning for Service Composition in Cloud Manufacturing","Collaborative Computing: Networking, Applications and Worksharing","","","","10.1007/978-3-030-92638-0_14","Jun ZengJuan YaoYang YuYingbo Wu","2021","http://link.springer.com/chapter/10.1007/978-3-030-92638-0_14","Chapter"
