"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Network Intrusion Detection System Using Reinforcement Learning Techniques","M. Malik; K. S. Saini","CSE, Chandigarh University, Kharar, India; CSE, Chandigarh University, Kharar, India","2023 International Conference on Circuit Power and Computing Technologies (ICCPCT)","22 Sep 2023","2023","","","1642","1649","Developing network intrusion detection systems (IDS) presents significant challenges due to the evolving nature of threats and the diverse range of network applications. Existing IDSs often struggle to detect dynamic attack patterns and covert attacks, leading to misidentified network vulnerabilities and degraded system performance. These requirements must be met via dependable, scalable, effective, and adaptable IDS designs. Our IDS can recognise and classify complex network threats by combining the Deep Q-Network (DQN) algorithm with distributed agents and attention techniques.. Our proposed distributed multi-agent IDS architecture has many advantages for guiding an all-encompassing security approach, including scalability, fault tolerance, and multi-view analysis. We conducted experiments using industry-standard datasets including NSL-KDD and CICIDS2017 to determine how well our model performed. The results show that our IDS outperforms others in terms of accuracy, precision, recall, F1-score, and false-positive rate. Additionally, we evaluated our model's resistance to black-box adversarial attacks, which are commonly used to take advantage of flaws in machine learning. Under these difficult circumstances, our model performed quite well.We used a denoising autoencoder (DAE) for further model strengthening to improve the IDS's robustness. Lastly, we evaluated the effectiveness of our zero-day defenses, which are designed to mitigate attacks exploiting unknown vulnerabilities. Through our research, we have developed an advanced IDS solution that addresses the limitations of traditional approaches. Our model demonstrates superior performance, robustness against adversarial attacks, and effective zero-day defenses. By combining deep reinforcement learning, distributed agents, attention techniques, and other enhancements, we provide a reliable and comprehensive solution for network security.","","979-8-3503-3324-4","10.1109/ICCPCT58313.2023.10245608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10245608","NSL-KDD;intrusion detection system;deep q learning;deep reinforcement learning;reinforcement learning;deep neural network","Resistance;System performance;Scalability;Noise reduction;Neural networks;Network intrusion detection;Reinforcement learning","computer crime;computer network security;deep learning (artificial intelligence);multi-agent systems;pattern classification;reinforcement learning","attention techniques;black-box adversarial attacks;complex network threats;covert attacks;DAE;Deep Q-Network algorithm;deep reinforcement learning;denoising autoencoder;distributed agents;DQN;dynamic attack patterns;machine learning;multiagent IDS architecture;network intrusion detection systems;network security;reinforcement learning techniques;zero-day defenses","","","","39","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"Enhancing IoT Security and Privacy through Blockchain Technology, Reinforcement Learning, and Constitutional AI","P. Ding; M. Sun; J. Liu; L. Li; H. Zhuang; B. Lin; Y. Fan","China Mobile Information Technology Company Limited, Shenzhen, China; China Mobile Information Technology Company Limited, Shenzhen, China; China Mobile Information Technology Company Limited, Shenzhen, China; China Mobile Information Technology Company Limited, Shenzhen, China; China Mobile Information Technology Company Limited, Shenzhen, China; China Mobile Information Technology Company Limited, Shenzhen, China; China Mobile Information Technology Company Limited, Shenzhen, China","2023 International Conference on Blockchain Technology and Information Security (ICBCTIS)","28 Aug 2023","2023","","","168","173","The rapid growth of the Internet of Things (IoT) has brought significant benefits to various industries, but it also poses new challenges in terms of security and privacy protection. In this paper, we propose a novel approach to enhance IoT security and privacy by combining blockchain technology with reinforcement learning algorithms and Constitutional Artificial Intelligence (CAI). This approach enables secure data storage and access control, adaptive data provenance and integrity, and adaptive identity management in IoT networks. We introduce Reinforcement Learning from Artificial Intelligence Feedback (RLAIF) and CAI to make the system adaptive and intelligent. RLAIF allows the system to learn from AI-generated feedback signals and make adjustments to its security mechanisms, while CAI ensures that the system adheres to the principles and guidelines set forth in a constitution, prioritizing user privacy and security. Experimental results demonstrate the effectiveness of the proposed method, paving the way for more secure and privacy-preserving IoT networks.","","979-8-3503-4040-2","10.1109/ICBCTIS59921.2023.00033","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10224696","Reinforcement Learning;Blockchain;Internet of Things;IoT;Data security;Data privacy;Smart contracts;Access control;Data traceability;Reinforcement Learning from Artificial Intelligence Feedback(RLAIF);Constitutional AI(CAI)","Training;Access control;Privacy;Adaptive systems;Memory;Reinforcement learning;Blockchains","authorisation;blockchains;computer network security;data protection;Internet of Things;reinforcement learning;storage management","access control;adaptive data integrity;adaptive data provenance;adaptive identity management;AI-generated feedback signals;blockchain technology;CAI;constitutional AI;constitutional artificial intelligence;data storage security;Internet of Things privacy;Internet of Things security;IoT privacy;IoT security;privacy protection;privacy-preserving IoT network;reinforcement learning from artificial intelligence feedback;RLAIF","","","","9","IEEE","28 Aug 2023","","","IEEE","IEEE Conferences"
"Quantum Multi-Agent Reinforcement Learning for Autonomous Mobility Cooperation","S. Park; J. P. Kim; C. Park; S. Jung; J. Kim",NA; NA; NA; NA; NA,"IEEE Communications Magazine","","2023","PP","99","1","7","For Industry 4.0 Revolution, cooperative autonomous mobility systems are widely used based on multiagent reinforcement learning (MARL). However, the MARLbased algorithms suffer from huge parameter utilization and convergence difficulties with many agents. To tackle these problems, a quantum MARL (QMARL) algorithm based on the concept of actor-critic network is proposed, which is beneficial in terms of scalability, to deal with the limitations in the noisy intermediatescale quantum (NISQ) era. Additionally, our QMARL is also beneficial in terms of efficient parameter utilization and fast convergence due to quantum supremacy. Note that the reward in our QMARL is defined as task precision over computation time in multiple agents, thus, multi-agent cooperation can be realized. For further improvement, an additional technique for scalability is proposed, which is called projection value measure (PVM). Based on PVM, our proposed QMARL can achieve the highest reward, by reducing the action dimension into a logarithmicscale. Finally, we can conclude that our proposed QMARL with PVM outperforms the other algorithms in terms of efficient parameter utilization, fast convergence, and scalability.","1558-1896","","10.1109/MCOM.020.2300199","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10232949","","Artificial neural networks;Quantum computing;Qubit;Training;Reinforcement learning;Machine learning algorithms;Convergence","","","","","","","IEEE","28 Aug 2023","","","IEEE","IEEE Early Access Articles"
"Deep Reinforcement Learning for End-to-End Network Slicing: Challenges and Solutions","Q. Liu; N. Choi; T. Han","University of Nebraska-Lincoln, USA; Nokia Bell Labs, USA; New Jersey Institute of Technology, USA","IEEE Network","5 Sep 2023","2023","37","2","222","228","5G and beyond is expected to enable various emerging use cases with diverse performance requirements from vertical industries. To serve these use cases cost-effectively, network slicing plays a key role in dynamically creating virtual end-to-end networks according to specific resource demands. A network slice may have hundreds of configurable parameters over multiple technical domains that define the performance of the network slice, which makes it impossible to use traditional model-based solutions to orchestrate resources for network slices. In this article, we discuss how to design and deploy deep reinforcement learning (DRL), a model-free approach, to address the network slicing problem. First, we analyze the network slicing problem and present a standard-compliant system architecture that enables DRL-based solutions in 5G and beyond networks. Second, we provide an in-depth analysis of the challenges in designing and deploying DRL in network slicing systems. Third, we explore multiple promising techniques, that is, safety and distributed DRL, and imitation learning, for automating end-to-end network slicing.","1558-156X","","10.1109/MNET.113.2100739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9846944","","Network slicing;Neural networks;Systems architecture;Service level agreements;Markov processes;Base stations;Servers","5G mobile communication;deep learning (artificial intelligence);reinforcement learning;resource allocation;telecommunication computing","automating end-to-end network slicing;deep reinforcement learning;network slice;network slicing problem;network slicing systems;traditional model-based solutions;virtual end-to-end networks","","","","15","IEEE","1 Aug 2022","","","IEEE","IEEE Magazines"
"Power-Aware Traffic Engineering for Data Center Networks via Deep Reinforcement Learning","M. Gao; T. Pan; E. Song; M. Yang; T. Huang; Y. Liu","State Key Laboratory of Networking and Switching Technology, BUPT, Beijing, China; State Key Laboratory of Networking and Switching Technology, BUPT, Beijing, China; State Key Laboratory of Networking and Switching Technology, BUPT, Beijing, China; State Key Laboratory of Networking and Switching Technology, BUPT, Beijing, China; State Key Laboratory of Networking and Switching Technology, BUPT, Beijing, China; State Key Laboratory of Networking and Switching Technology, BUPT, Beijing, China","GLOBECOM 2022 - 2022 IEEE Global Communications Conference","11 Jan 2023","2022","","","6055","6060","The issue of high energy consumption and low energy utilization in data center networks (DCNs) has always been the focus of attention of both academia and industry. One general solution is to select a subset of network devices that can meet the traffic transmission requirements, thereby turning off the remaining redundant devices. However, modeling the problem as integer linear programming introduces significant time overhead, while heuristic approaches often suffer from poor generalizability. In this paper, we propose GreenDCN.ai, a closed-loop control system, which utilizes In-band Network Telemetry to collect the network-wide device-internal state, and leverages a Deep Reinforcement Learning-based energy-saving algorithm to make rapid decisions to turn on or off network device ports in response to the real-time network state. The trained GreenDCN.ai can adaptively adjust its energy-saving strategy without human intervention when the DCN topology changes. Besides, based on the regularity of the DCN topology, we design two training complexity reduction methods to address the non-convergence issue under large-scale DCN topologies. Specifically, we split the large-scale DCN topology into sub-topologies for parallel training on each sub-topology without breaking the DCN topology connectivity. Evaluation on software P4 switches suggests that GreenDCN.ai can achieve stable convergence within 590 episodes, generate effective action decisions within $\boldsymbol{79}\upmu\mathrm{s}$, and save about 34% to 39% of the network energy consumption.","","978-1-6654-3540-6","10.1109/GLOBECOM48099.2022.10001013","National Key Research and Development Program of China(grant numbers:2019YFBI802600); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10001013","","Training;Energy consumption;Data centers;Network topology;Green products;Reinforcement learning;Turning","closed loop systems;computer centres;deep learning (artificial intelligence);energy consumption;green computing;integer programming;linear programming;power aware computing;reinforcement learning;telecommunication network topology;telecommunication power management;telecommunication switching;telecommunication traffic","closed-loop control system;complexity reduction methods;data center networks;DCN topology;deep reinforcement learning;deep reinforcement learning-based energy-saving algorithm;energy consumption;energy utilization;greenDCN;in-band network telemetry;integer linear programming;network energy consumption;network-wide device-internal state;power-aware traffic engineering;software P4 switches;traffic transmission","","","","13","IEEE","11 Jan 2023","","","IEEE","IEEE Conferences"
"Application of Reinforcement Learning to The Orientation and Position Control of A 6 Degrees of Freedom Robotic Manipulator","F. R. Campos; A. X. Fidêncio; J. Domingues; G. Pessin; G. Freitas","Programa de Pós-Graduação em Instrumentação, Controle e Automação de Processos de Mineração, Universidade Federal de Ouro Preto e Instituto Tecnológico Vale, Ouro Preto, MG, Brazil; Faculty of Electrical Engineering and Information Technology, Ruhr-University, Bochum, Germany; Programa de Pós-Graduação em Instrumentação, Controle e Automação de Processos de Mineração, Universidade Federal de Ouro Preto e Instituto Tecnológico Vale, Ouro Preto, MG, Brazil; Programa de Pós-Graduação em Instrumentação, Controle e Automação de Processos de Mineração, Universidade Federal de Ouro Preto e Instituto Tecnológico Vale, Ouro Preto, MG, Brazil; Programa de Pós-Graduação em Instrumentação, Controle e Automação de Processos de Mineração, Universidade Federal de Ouro Preto e Instituto Tecnológico Vale, Ouro Preto, MG, Brazil","2022 Latin American Robotics Symposium (LARS), 2022 Brazilian Symposium on Robotics (SBR), and 2022 Workshop on Robotics in Education (WRE)","4 Jan 2023","2022","","","1","6","Applications with autonomous robots play an important role in the industry and in everyday life. Among them, the activities of manipulating and moving objects are highlighted by the wide variety of possible applications. These activities in static and known environments can be implemented through logic planned by the developer, but this is not feasible in dynamic environments. Machine Learning (ML) techniques such as Reinforcement Learning (RL) algorithms have sought to replace the pre-defined programming by teaching the robot how to act. This paper presents the implementation of two RL algorithms, Deep Deterministic Policy Gradient (DDPG) and Proximal Policy Optimization (PPO), for orientation and position control of a 6-degree-of-freedom (6-DoF) robotic manipulator. The results demonstrated that the DDPG have a faster learning convergence in simpler activities, but if the complexity of the problem increases, it might not obtain a satisfactory behavior. On the other hand, PPO can solve more complex problems but it limits the convergence rate to the best result in order to avoid learning instability.","2643-685X","978-1-6654-6280-8","10.1109/LARS/SBR/WRE56824.2022.9995835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9995835","Robotics;Machine Learning;Reinforcement Learning;DDPG;PPO","Service robots;Position control;Reinforcement learning;Power system stability;Manipulators;Stability analysis;Behavioral sciences","learning (artificial intelligence);manipulators;mobile robots;position control","6 degrees;6-degree-of-freedom;6-DoF;autonomous robots;DDPG;Deep Deterministic Policy Gradient;dynamic environments;faster learning convergence;freedom robotic manipulator;known environments;learning instability;moving objects;position control;PPO;pre-defined programming;Proximal Policy Optimization;Reinforcement Learning algorithms;RL algorithms;simpler activities;static environments","","","","17","IEEE","4 Jan 2023","","","IEEE","IEEE Conferences"
"Fuel-Efficient Switching Control for Platooning Systems With Deep Reinforcement Learning","T. R. Gonçalves; R. F. Cunha; V. S. Varma; S. E. Elayoubi","Laboratoire des Signaux et Systèmes, CNRS, CentraleSupélec, Université Paris-Saclay, Gif-sur-Yvette, France; Faculty of Science and Engineering, University of Groningen, Groningen, The Netherlands; CNRS, CRAN, Université de Lorraine, Nancy, France; Laboratoire des Signaux et Systèmes, CNRS, CentraleSupélec, Université Paris-Saclay, Gif-sur-Yvette, France","IEEE Transactions on Intelligent Transportation Systems","","2023","PP","99","1","11","The wide appeal of fuel-efficient transport solutions is constantly increasing due to the major impact of the transportation industry on the environment. Platooning systems represent a relatively simple approach in terms of deployment toward fuel-efficient solutions. This paper addresses the reduction of fuel consumption in platooning systems attainable by dynamically switching between two control policies: Adaptive Cruise Control (ACC) and Cooperative Adaptive Cruise Control (CACC). The switching rule is dictated by a Deep Reinforcement Learning (DRL) technique to overcome unpredictable platoon disturbances and to learn appropriate transient shift times while maximizing fuel efficiency. However, due to safety and convergence issues of DRL, our algorithm establishes transition times and minimum periods of operation of ACC and CACC controllers instead of directly controlling vehicles. Numerical experiments show that the DRL agent outperforms both static ACC and CACC versions and the threshold logic control in terms of fuel efficiency while also being robust to perturbations and satisfying safety requirements.","1558-0016","","10.1109/TITS.2023.3304977","European Research Council(grant numbers:ERC-CoG-,771687); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10229987","Vehicle platoons;deep reinforcement learning;cooperative adaptive cruise control (CACC)","Fuels;Control systems;Switches;Atmospheric modeling;Behavioral sciences;Aerodynamics;Roads","","","","","","","IEEE","24 Aug 2023","","","IEEE","IEEE Early Access Articles"
"Digital Twins-based Multi-agent Deep Reinforcement Learning for UAV-assisted Vehicle Edge Computing","C. Hu; Q. Qi; L. Zhang; C. Liu; D. Chen; J. Liao; Z. Zhuang; J. Wang","BeiJing University of Posts and Telecommunications, BeiJing, China; BeiJing University of Posts and Telecommunications, BeiJing, China; China United Telecommunications Co. Ltd, BeiJing, China; China Mobile Research Institute, BeiJing, China; BeiJing University of Posts and Telecommunications, BeiJing, China; BeiJing University of Posts and Telecommunications, BeiJing, China; BeiJing University of Posts and Telecommunications, BeiJing, China; BeiJing University of Posts and Telecommunications, BeiJing, China","2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)","27 Jul 2023","2022","","","1329","1336","UAV-assisted vehicle-edge-computing (VEC) has become a viable solution for a new generation of intelligent transportation systems (ITS) and has attracted widespread attention from academia and industry. Compared with fixed ground devices, UAV can provide line-of-sight (LoS) link and has good mobility, which better matches the needs of individual wireless connectivity and high mobility of vehicle. However, the mobility of UAVs leads to dynamic changes in the network topology environment and brings new challenges in the rational path planning of UAVs, which brings new problems for network autonomous decision-making to achieve network resource allocation and load balancing. Therefore, in order to solve above problems, we introduce digital twins-based multi-agent deep Q-network (DT-based MADQN). Digital twin (DT) collects network data and reconstructs the network environment and provides the basis for Deep reinforcement learning (DRL) model training. DRL model provides a network decision-making solution based on real-time network status and empirical data. The simulation results show the effectiveness of the proposed algorithm. Compared to the baseline algorithm, it reduces the average task delay by 16.4% and improves the task completion rate by 97.6%.","","979-8-3503-4655-8","10.1109/SmartWorld-UIC-ATC-ScalCom-DigitalTwin-PriComp-Metaverse56740.2022.00192","National Natural Science Foundation of China; Ministry of Education; China Postdoctoral Science Foundation; China Mobile Research Institute; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10189487","UAV-assisted;Vehicle Edge Computing;Multi Agent Deep Q-network;Digital Twin","Training;Deep learning;Computational modeling;Decision making;Reinforcement learning;Real-time systems;Digital twins","autonomous aerial vehicles;decision making;deep learning (artificial intelligence);digital twins;edge computing;intelligent transportation systems;multi-agent systems;path planning;reinforcement learning;resource allocation;telecommunication computing","deep Q-network;Deep reinforcement learning model training;digital twins-based multiagent Deep reinforcement learning;DT-based MADQN;good mobility;intelligent transportation systems;line-of-sight link;load balancing;network autonomous decision-making;network data;network decision-making solution;network environment;network resource allocation;network topology environment;real-time network status;reconstructs;UAV-assisted vehicle edge computing;UAV-assisted vehicle-edge-computing","","","","22","IEEE","27 Jul 2023","","","IEEE","IEEE Conferences"
"Design and Development of Chatbot Based on Reinforcement Learning","H. M. Jadhav; A. Mulani; M. M. Jadhav","Electronics and Telecommunication Department, Marathwada Mitra Mandal's College of Engineering, Pune, India; Electronics and Telecommunication Department, SKNSCOE, Pandharpur, India; Electronics and Telecommunication Department, NBN Sinhgad School of Engineering, Pune, India","Machine Learning Algorithms for Signal and Image Processing","","2023","","","219","229","Systems consigned with machine learning (ML) as well as artificial intelligence (AI) can think, learn, and remember. Thus today, AI/ML are key technologies for communications. This chapter presents a new approach to develop a chatbot system, applying ML to address the issue of accessing and managing information efficiently for the academic and industry sectors. It is a thrust area to maximize model accuracy and convergence rate. A chatbot is designed to make a discussion between human beings and machines. To identify the sentences, the system has been programmed with expertise. Following that, a decision is taken as a response to a query. The response idea is based on matching the user's supplied sentence. In this chapter, an expert system is developed for the college inquiry desk with a chatbot using natural language processing (NLP) as well as reinforcement‐learning (RL) algorithms. The proposed approach is based on experience learning to provide academic support services with chatbots. Here, customer experience cases are added to the chatbot to improve the connection and utilization of best practices for constant information handling.","","9781119861836","10.1002/9781119861850.ch12","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9960901.pdf&bkn=9960833&pdfType=chapter","","Chatbots;Speech recognition;Tokenization;Passwords;Information retrieval;Web search;Uncertainty","","","","","","","","22 Nov 2022","","","IEEE","Wiley-IEEE Press eBook Chapters"
"An Optimization Method-Assisted Ensemble Deep Reinforcement Learning Algorithm to Solve Unit Commitment Problems","J. Qin; Y. Gao; M. Bragin; N. Yu","Department of Electrical and Computer Engineering, University of California, Riverside, Riverside, CA, USA; Department of Electrical and Computer Engineering, University of California, Riverside, Riverside, CA, USA; Department of Electrical and Computer Engineering, University of California, Riverside, Riverside, CA, USA; Department of Electrical and Computer Engineering, University of California, Riverside, Riverside, CA, USA","IEEE Access","19 Sep 2023","2023","11","","100125","100136","Unit commitment (UC) is a fundamental problem in the day-ahead electricity market, and it is critical to solve UC problems efficiently. Mathematical optimization techniques like dynamic programming, Lagrangian relaxation, and mixed-integer quadratic programming (MIQP) are commonly adopted for UC problems. However, the calculation time of these methods increases at an exponential rate with the number of generators and energy resources, which is still the main bottleneck in the industry. Recent advances in artificial intelligence have demonstrated the capability of reinforcement learning (RL) to solve UC problems. Unfortunately, the existing research on solving UC problems with RL suffers from the curse of dimensionality when the size of UC problems grows. To deal with these problems, we propose an optimization method-assisted ensemble deep reinforcement learning algorithm, where UC problems are formulated as a Markov Decision Process (MDP) and solved by multi-step deep Q-learning in an ensemble framework. The proposed algorithm establishes a candidate action set by solving tailored optimization problems to ensure relatively high performance and the satisfaction of operational constraints. Numerical studies on three test systems show that our algorithm outperforms the baseline RL algorithm in terms of computation efficiency and operation cost. By employing the output of our proposed algorithm as a warm start, the MIQP technique can achieve further reductions in operational costs. Furthermore, the proposed algorithm shows strong generalization capacity under unforeseen operational conditions.","2169-3536","","10.1109/ACCESS.2023.3313998","Office of the President, University of California(grant numbers:L22CR4556); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10247003","Deep reinforcement learning;multi-step return;optimization methods;unit commitment","Optimization;Costs;Machine learning algorithms;Heuristic algorithms;Ions;Deep learning;Uncertainty;Reinforcement learning","artificial intelligence;dynamic programming;integer programming;learning (artificial intelligence);Markov processes;optimisation;power generation dispatch;power generation scheduling;power markets;quadratic programming;reinforcement learning","fundamental problem;optimization method-assisted ensemble deep reinforcement learning algorithm;optimization problems;solve unit commitment problems;UC problems","","","","42","CCBYNCND","11 Sep 2023","","","IEEE","IEEE Journals"
