Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Application of Reinforcement Learning in Production Planning and Control of Cyber Physical Production Systems","Machine Learning for Cyber Physical Systems","","","","10.1007/978-3-662-58485-9_14","Andreas KuhnleGisela Lanza","2019","http://link.springer.com/chapter/10.1007/978-3-662-58485-9_14","Chapter"
"Reinforcement learning–based design of orienting devices for vibratory bowl feeders","The International Journal of Advanced Manufacturing Technology","","105","9","10.1007/s00170-019-03798-9","Cosima StockerMarc SchmidGunther Reinhart","2019","http://link.springer.com/article/10.1007/s00170-019-03798-9","Article"
"Reinforcement learning for opportunistic maintenance optimization","Production Engineering","","13","1","10.1007/s11740-018-0855-7","Andreas KuhnleJohannes JakubikGisela Lanza","2019","http://link.springer.com/article/10.1007/s11740-018-0855-7","Article"
"In Situ Quality Monitoring in AM Using Acoustic Emission: A Reinforcement Learning Approach","Journal of Materials Engineering and Performance","","28","2","10.1007/s11665-018-3690-2","K. WasmerT. Le-QuangB. MeylanS. A. Shevchik","2019","http://link.springer.com/article/10.1007/s11665-018-3690-2","Article"
"A Deep Reinforcement Learning Strategy for UAV Autonomous Landing on a Moving Platform","Journal of Intelligent & Robotic Systems","","93","1 - 2","10.1007/s10846-018-0891-8","Alejandro Rodriguez-RamosCarlos SampedroHriday BavlePaloma de la PuentePascual Campoy","2019","http://link.springer.com/article/10.1007/s10846-018-0891-8","Article"
"Reinforcement Learning-Enabled Intelligent Energy Management for Hybrid Electric Vehicles","Synthesis Lectures on Advances in Automotive Technology","","","","10.1007/978-3-031-01503-8","Teng Liu","2019","http://link.springer.com/book/10.1007/978-3-031-01503-8","Book"
"Deep Reinforcement Learning Based Task Offloading in SDN-Enabled Industrial Internet of Things","Artificial Intelligence for Communications and Networks","","","","10.1007/978-3-030-22971-9_37","Jiadai WangYurui CaoJiajia LiuYanning Zhang","2019","http://link.springer.com/chapter/10.1007/978-3-030-22971-9_37","Chapter"
"Towards Model-Based Reinforcement Learning for Industry-Near Environments","Artificial Intelligence XXXVI","","","","10.1007/978-3-030-34885-4_3","Per-Arne AndersenMorten GoodwinOle-Christoffer Granmo","2019","http://link.springer.com/chapter/10.1007/978-3-030-34885-4_3","Chapter"
"Reinforcement Learning Methods for Operations Research Applications: The Order Release Problem","Machine Learning, Optimization, and Data Science","","","","10.1007/978-3-030-13709-0_46","Manuel SchneckenreitherStefan Haeussler","2019","http://link.springer.com/chapter/10.1007/978-3-030-13709-0_46","Chapter"
"Approximate Optimal Stabilization Control of Servo Mechanisms based on Reinforcement Learning Scheme","International Journal of Control, Automation and Systems","","17","10","10.1007/s12555-018-0551-6","Yongfeng LvXuemei RenShuangyi HuHao Xu","2019","http://link.springer.com/article/10.1007/s12555-018-0551-6","Article"
"An intelligent weld control strategy based on reinforcement learning approach","The International Journal of Advanced Manufacturing Technology","","100","9 - 12","10.1007/s00170-018-2864-2","Zeshi JinHaichao LiHongming Gao","2019","http://link.springer.com/article/10.1007/s00170-018-2864-2","Article"
"Common Structures in Resource Management as Driver for Reinforcement Learning: A Survey and Research Tracks","Machine Learning for Networking","","","","10.1007/978-3-030-19945-6_8","Yue JinDimitre KostadinovMakram BouzidArmen Aghasaryan","2019","http://link.springer.com/chapter/10.1007/978-3-030-19945-6_8","Chapter"
"Application of Deep Reinforcement Learning in Beam Offset Calibration of MEBT at C-ADS Injector-II","Frontier Computing","","","","10.1007/978-981-13-3648-5_3","Jinqiang WangXuhui YangBinbin YongQingguo ZhouYuan HeLihui LuoRui Zhou","2019","http://link.springer.com/chapter/10.1007/978-981-13-3648-5_3","Chapter"
